timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1683955302878840,-5,4,4,-12,-69,-111,-41,-9
1683955302878840,-5,5,-4,-6,-44,30,-40,-9
1683955302879839,5,-4,-2,2,65,92,47,10
1683955302879839,0,-3,-1,7,-10,-91,-2,2
1683955302883837,-3,7,-6,-33,-45,-37,-35,-8
1683955302883837,2,-2,2,7,41,58,26,4
1683955302885837,-6,-6,-2,0,8,-91,8,2
1683955302885837,-3,5,-2,-1,-57,-45,-40,-9
1683955302889835,0,-6,0,6,22,82,15,2
1683955302889835,4,-7,-1,5,37,-11,34,9
1683955302898829,-2,2,-3,-12,-65,-59,-40,-7
1683955302898829,-1,8,14,23,2,56,-7,-2
1683955302914821,4,-5,1,11,50,52,34,8
1683955302914821,-1,4,1,-7,-18,-68,-13,-2
1683955302920816,-3,3,4,-3,-39,-17,-32,-8
1683955302920816,-1,-7,-8,-16,24,47,17,2
1683955302929810,4,-3,-5,4,12,-44,12,3
1683955302929810,-1,2,4,0,-35,-43,-23,-7
1683955302952799,0,0,0,3,5,38,2,-2
1683955302952799,-1,-7,-4,-16,21,18,16,1
1683955302955797,-3,1,-3,4,-14,-20,-12,-3
1683955302955797,-3,0,-5,-6,-7,25,-5,-1
1683955302957797,2,-2,3,7,12,20,11,3
1683955302957797,0,-3,-8,-23,-6,-21,-3,-2
1683955303004771,3,-5,2,11,62,111,42,8
1683955303004771,5,-6,-4,-13,29,-82,28,7
1683955303005769,-7,6,10,17,-68,-76,-53,-14
1683955303005769,-1,-1,-1,-6,26,86,15,3
1683955303006769,5,-6,-2,2,43,-15,32,9
1683955303006769,-6,3,-1,-13,-63,-46,-44,-11
1683955303009789,2,2,4,12,14,94,4,1
1683955303009789,4,-5,-3,0,39,44,36,8
1683955303017311,-4,4,-6,-8,-43,-76,-29,-6
1683955303017311,-3,5,2,0,-19,51,-20,-6
1683955303025882,2,-5,-5,-3,48,51,37,7
1683955303025882,-1,-1,3,2,-6,-72,-2,0
1683955303032151,-7,1,-6,-6,-55,-33,-39,-10
1683955303032151,1,1,-5,-2,34,65,19,3
1683955303047292,3,-3,2,10,33,-14,24,5
1683955303047292,0,9,2,3,-47,-41,-32,-8
1683955303055185,-2,-2,-10,-32,2,46,-4,-4
1683955303055185,1,-6,-3,10,31,36,24,5
1683955303070057,-2,-2,-4,-13,-19,-33,-13,-3
1683955303070057,-6,-2,-4,-12,-18,25,-14,-3
1683955303077055,0,-1,7,25,21,24,12,2
1683955303077055,-1,-3,1,4,-2,-21,-1,0
1683955303086051,-1,2,-6,-20,-17,-16,-12,-3
1683955303086051,-1,-3,3,2,5,17,6,-1
1683955303092047,0,-3,-2,2,3,-16,2,-2
1683955303092047,-2,2,5,4,-14,-7,-11,-3
1683955303109042,0,-3,-14,-17,4,19,4,-2
1683955303109042,3,1,9,6,10,0,9,1
1683955303115146,-1,2,3,2,-15,-15,-12,-4
1683955303115146,-2,-1,3,3,-1,20,-2,-3
1683955303124164,-2,-5,-1,8,10,12,7,1
1683955303124164,1,-1,-2,2,-5,-18,-5,0
1683955303137645,1,2,-1,0,-8,-6,-7,-1
1683955303137645,-2,-2,-1,0,5,13,5,-2
1683955303154148,0,-2,2,9,10,-9,3,4
1683955303154148,-1,-1,-5,-8,-8,-7,-9,-2
1683955303155148,-2,-3,0,-5,-15,10,0,-1
1683955303155148,1,-2,-3,-3,9,2,5,2
1683955303168416,-2,0,5,4,-13,-6,-6,-4
1683955303168416,-2,1,-1,16,12,26,0,-2
1683955303175185,0,2,-1,-5,1,7,2,1
1683955303175185,-3,0,1,2,-11,-2,-7,1
1683955303184148,-1,-2,-6,-15,0,7,0,1
1683955303184148,-1,-6,3,19,5,1,2,-2
1683955303197371,0,1,-4,1,0,-21,-1,-2
1683955303197371,1,4,9,0,-9,1,-2,1
1683955303206832,0,-2,0,1,5,8,3,0
1683955303206832,-1,1,-4,-10,2,-4,5,3
1683955303212148,-1,0,1,-3,-8,3,-9,-3
1683955303212148,0,-4,-1,11,14,28,5,0
1683955303229392,0,-1,-4,4,-3,3,1,1
1683955303229392,-1,-1,-1,-15,-10,-1,-6,-2
1683955303244148,-1,0,1,15,6,17,2,2
1683955303244148,0,-1,-1,-6,0,2,2,-2
1683955303245146,-1,0,-1,-13,-12,-26,-8,-3
1683955303245146,-3,-3,-10,-4,0,0,-5,-3
1683955303257315,-1,-2,2,-3,6,5,4,1
1683955303257315,-1,-5,-6,-1,1,-2,1,-1
1683955303265983,0,6,4,20,-4,6,-5,-2
1683955303265983,1,-1,0,-16,0,14,3,0
1683955303272208,0,-1,-2,-3,5,2,3,0
1683955303272208,-3,-2,-2,-2,-13,1,-7,-3
1683955303288421,-3,-4,-4,-4,-3,11,-4,-4
1683955303288421,1,1,0,13,10,0,6,1
1683955303294461,1,4,4,-12,-50,-18,-6,-2
1683955303294461,-1,-1,-8,-6,27,2,-4,0
1683955303310262,-1,-5,0,5,11,4,6,2
1683955303310262,-1,5,-3,1,-6,-7,-4,0
1683955303317300,-3,-4,-4,-4,-2,5,-4,-2
1683955303317300,0,3,3,3,-1,13,4,0
1683955303326258,1,1,4,-4,-4,4,2,0
1683955303326258,-2,-3,-4,1,-14,3,-11,-5
1683955303332294,-1,-1,3,1,15,20,4,1
1683955303332294,2,1,1,7,6,-1,3,0
1683955303348325,-3,-1,-9,-19,-9,-15,-7,-3
1683955303348325,-2,0,-4,-5,0,2,-2,-1
1683955303354321,-2,-1,2,1,7,1,2,-1
1683955303354321,0,-3,-2,1,-5,-8,-2,-1
1683955303378349,-3,-1,-2,-3,-3,7,-5,-1
1683955303378349,0,0,4,11,6,13,5,1
1683955303378349,-1,-3,-5,1,5,2,1,0
1683955303378349,0,1,-4,-15,-15,4,-4,-3
1683955303387346,1,0,1,7,7,23,3,-1
1683955303387346,-1,-2,2,0,-1,0,2,-1
1683955303400342,-3,-2,-1,7,3,-10,-8,-3
1683955303400342,-1,1,4,4,-4,4,-3,-1
1683955303408369,2,-1,-3,-4,0,2,4,2
1683955303408369,0,-2,-5,-3,-5,-27,-3,-2
1683955303415180,1,3,2,-1,-4,4,-3,-1
1683955303415180,-2,-5,-4,-2,11,11,5,-1
1683955303430174,0,1,2,-1,-2,-1,1,0
