,timestamp_leitura,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
0,2023-04-21 20:11:01.080411,3.258508444,1.438915253,8.846575737,-0.098591112,0.019185297,-0.012790199
1,2023-04-21 20:11:01.080411,3.253720045,1.438915253,8.846575737,-0.098058186,0.019185297,-0.012790199
2,2023-04-21 20:11:01.080411,3.256114244,1.443703651,8.84896946,-0.097525269,0.018918836,-0.012790199
3,2023-04-21 20:11:01.080411,3.260902643,1.44849205,8.846575737,-0.097258806,0.018652374,-0.012790199
4,2023-04-21 20:11:01.080411,3.263296843,1.45088625,8.844181061,-0.097258806,0.018652374,-0.012523737
5,2023-04-21 20:11:01.080411,3.265691042,1.458068848,8.83699894,-0.096992344,0.018652374,-0.012523737
6,2023-04-21 20:11:01.080411,3.268085241,1.462857246,8.829815865,-0.096992344,0.018918836,-0.012257273
7,2023-04-21 20:11:01.080411,3.270479441,1.465251446,8.827422142,-0.096992344,0.019185297,-0.012257273
8,2023-04-21 20:11:01.080411,3.270479441,1.467645645,8.825027466,-0.096992344,0.019718224,-0.011990812
9,2023-04-21 20:11:01.080411,3.270479441,1.467645645,8.82263279,-0.096992344,0.020251149,-0.011990812
10,2023-04-21 20:11:01.080411,3.270479441,1.470039845,8.827422142,-0.096992344,0.02051761,-0.011724349
11,2023-04-21 20:11:01.080411,3.268085241,1.472434044,8.841787338,-0.097258806,0.02051761,-0.011724349
12,2023-04-21 20:11:01.080411,3.265691042,1.472434044,8.844181061,-0.097258806,0.020784073,-0.011724349
13,2023-04-21 20:11:01.080411,3.268085241,1.467645645,8.853757858,-0.096992344,0.021050537,-0.011457887
14,2023-04-21 20:11:01.080411,3.265691042,1.460463047,8.868123055,-0.096992344,0.021050537,-0.011191424
0,2023-04-21 20:11:01.133680,3.270479441,1.41257906,8.844181061,-0.099923424,0.019185297,-0.011724349
1,2023-04-21 20:11:01.133680,3.268085241,1.41018486,8.844181061,-0.099656969,0.019185297,-0.011457887
2,2023-04-21 20:11:01.133680,3.268085241,1.407790542,8.841787338,-0.099390499,0.019185297,-0.011724349
3,2023-04-21 20:11:01.133680,3.268085241,1.405396342,8.839392662,-0.099390499,0.019185297,-0.011457887
4,2023-04-21 20:11:01.133680,3.268085241,1.405396342,8.841787338,-0.099390499,0.019185297,-0.011457887
5,2023-04-21 20:11:01.133680,3.263296843,1.407790542,8.841787338,-0.098857582,0.019451762,-0.011457887
6,2023-04-21 20:11:01.133680,3.263296843,1.41257906,8.834604263,-0.098591112,0.019451762,-0.011724349
7,2023-04-21 20:11:01.133680,3.260902643,1.41257906,8.829815865,-0.098324656,0.019185297,-0.011990812
8,2023-04-21 20:11:01.133680,3.263296843,1.41257906,8.829815865,-0.098324656,0.019185297,-0.011990812
9,2023-04-21 20:11:01.133680,3.268085241,1.417367458,8.825027466,-0.098058186,0.019185297,-0.012257273
10,2023-04-21 20:11:01.133680,3.268085241,1.414973259,8.82263279,-0.097791731,0.019185297,-0.012257273
11,2023-04-21 20:11:01.133680,3.268085241,1.417367458,8.82263279,-0.097525269,0.018918836,-0.011990812
12,2023-04-21 20:11:01.133680,3.270479441,1.422155857,8.825027466,-0.097258806,0.018918836,-0.011990812
13,2023-04-21 20:11:01.133680,3.27287364,1.424550056,8.827422142,-0.096992344,0.018918836,-0.011990812
14,2023-04-21 20:11:01.133680,3.270479441,1.429338455,8.829815865,-0.096725874,0.019185297,-0.011990812
0,2023-04-21 20:11:01.166682,3.251325846,1.508347034,8.860940933,-0.096192956,0.016520673,-0.010924961
1,2023-04-21 20:11:01.166682,3.251325846,1.508347034,8.858546257,-0.096725874,0.015987748,-0.011191424
2,2023-04-21 20:11:01.166682,3.253720045,1.505952835,8.860940933,-0.097258806,0.015987748,-0.011191424
3,2023-04-21 20:11:01.166682,3.256114244,1.508347034,8.860940933,-0.097525269,0.015721286,-0.011191424
