,timestamp_leitura,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
0,1683959045.549889,1.405396342,-0.086191259,9.258378029,-0.104719758,0.022649311,-0.013056661
1,1683959045.549889,1.405396342,-0.08379706,9.255983353,-0.104719758,0.022915773,-0.013056661
2,1683959045.549889,1.405396342,-0.08379706,9.255983353,-0.104719758,0.022915773,-0.013056661
3,1683959045.549889,1.403002143,-0.086191259,9.263166428,-0.104719758,0.022915773,-0.013056661
4,1683959045.549889,1.403002143,-0.086191259,9.263166428,-0.104719758,0.023182238,-0.012790199
5,1683959045.549889,1.403002143,-0.086191259,9.263166428,-0.104986221,0.022915773,-0.012790199
6,1683959045.549889,1.405396342,-0.086191259,9.263166428,-0.104986221,0.022915773,-0.013056661
7,1683959045.549889,1.405396342,-0.086191259,9.270348549,-0.104986221,0.022915773,-0.012790199
8,1683959045.549889,1.405396342,-0.086191259,9.26556015,-0.104719758,0.022915773,-0.012790199
9,1683959045.549889,1.400607944,-0.08379706,9.270348549,-0.104719758,0.022915773,-0.012790199
10,1683959045.549889,1.398213744,-0.086191259,9.272743225,-0.104719758,0.022649311,-0.012523737
11,1683959045.549889,1.395819545,-0.088585466,9.272743225,-0.104719758,0.022915773,-0.012523737
12,1683959045.549889,1.391031146,-0.086191259,9.267954826,-0.104453288,0.022915773,-0.012523737
13,1683959045.549889,1.388636947,-0.088585466,9.272743225,-0.104719758,0.022915773,-0.012523737
14,1683959045.549889,1.388636947,-0.088585466,9.275136948,-0.104719758,0.022649311,-0.012523737
0,1683959045.596864,1.405396342,-0.071826048,9.279925346,-0.104986221,0.022382848,-0.013056661
1,1683959045.596864,1.407790542,-0.074220255,9.279925346,-0.104986221,0.022382848,-0.013056661
2,1683959045.596864,1.41018486,-0.074220255,9.279925346,-0.104986221,0.022649311,-0.013056661
3,1683959045.596864,1.407790542,-0.074220255,9.279925346,-0.104986221,0.022649311,-0.013056661
4,1683959045.596864,1.407790542,-0.076614454,9.279925346,-0.104986221,0.022649311,-0.013323124
5,1683959045.596864,1.405396342,-0.079008654,9.279925346,-0.104986221,0.022382848,-0.013056661
6,1683959045.596864,1.403002143,-0.079008654,9.277531624,-0.104986221,0.022382848,-0.013056661
7,1683959045.596864,1.400607944,-0.08379706,9.277531624,-0.104986221,0.022382848,-0.012790199
8,1683959045.596864,1.400607944,-0.08379706,9.275136948,-0.104986221,0.022649311,-0.012790199
9,1683959045.596864,1.400607944,-0.086191259,9.275136948,-0.104986221,0.022649311,-0.012790199
10,1683959045.596864,1.398213744,-0.081402861,9.277531624,-0.104986221,0.022382848,-0.012790199
11,1683959045.596864,1.398213744,-0.081402861,9.279925346,-0.104986221,0.022382848,-0.012790199
12,1683959045.596864,1.398213744,-0.08379706,9.277531624,-0.104986221,0.022382848,-0.013056661
13,1683959045.596864,1.398213744,-0.08379706,9.277531624,-0.104986221,0.022382848,-0.013056661
14,1683959045.596864,1.398213744,-0.08379706,9.279925346,-0.105252676,0.022382848,-0.013056661
0,1683959045.6348429,1.398213744,-0.08379706,9.26556015,-0.104719758,0.023182238,-0.012790199
1,1683959045.6348429,1.395819545,-0.086191259,9.260771751,-0.104986221,0.023182238,-0.012790199
2,1683959045.6348429,1.398213744,-0.086191259,9.263166428,-0.104719758,0.023182238,-0.012523737
3,1683959045.6348429,1.395819545,-0.088585466,9.267954826,-0.104986221,0.023448698,-0.012523737
4,1683959045.6348429,1.400607944,-0.088585466,9.267954826,-0.104986221,0.023182238,-0.012523737
5,1683959045.6348429,1.400607944,-0.090979666,9.267954826,-0.104986221,0.022915773,-0.012523737
6,1683959045.6348429,1.400607944,-0.090979666,9.267954826,-0.104986221,0.022915773,-0.012523737
7,1683959045.6348429,1.403002143,-0.090979666,9.267954826,-0.104986221,0.022915773,-0.012790199
8,1683959045.6348429,1.403002143,-0.090979666,9.272743225,-0.104986221,0.022915773,-0.012523737
9,1683959045.6348429,1.398213744,-0.088585466,9.275136948,-0.104986221,0.022915773,-0.012523737
10,1683959045.6348429,1.398213744,-0.088585466,9.279925346,-0.104986221,0.022915773,-0.012523737
11,1683959045.6348429,1.393425345,-0.088585466,9.277531624,-0.104986221,0.022915773,-0.012523737
12,1683959045.6348429,1.393425345,-0.088585466,9.275136948,-0.104986221,0.022915773,-0.012523737
13,1683959045.6348429,1.398213744,-0.088585466,9.275136948,-0.104986221,0.022915773,-0.012523737
14,1683959045.6348429,1.400607944,-0.090979666,9.272743225,-0.104986221,0.022915773,-0.012523737
0,1683959045.6698232,1.395819545,-0.086191259,9.263166428,-0.104986221,0.022915773,-0.013056661
1,1683959045.6698232,1.398213744,-0.086191259,9.260771751,-0.104986221,0.022649311,-0.013056661
2,1683959045.6698232,1.398213744,-0.088585466,9.255983353,-0.105252676,0.022915773,-0.013056661
3,1683959045.6698232,1.403002143,-0.088585466,9.255983353,-0.104986221,0.022649311,-0.012790199
4,1683959045.6698232,1.403002143,-0.088585466,9.25358963,-0.105252676,0.022649311,-0.012790199
