timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1688395235325323,0,1,-6,-11,1,2,5,0
1688395235325323,-3,-6,-5,11,12,3,-5,-4
1688395235326317,-3,-5,-8,-8,-1,-6,-2,-3
1688395235326317,0,1,-2,-3,0,0,0,-1
1688395235329314,-1,2,7,11,0,-6,1,-1
1688395235329314,-3,-3,-4,2,9,4,-6,-1
1688395235330313,0,1,-4,-10,21,14,2,-1
1688395235330313,-2,-6,-14,-1,-9,-5,-2,-1
1688395235337372,-2,-4,-2,-5,-22,0,3,0
1688395235337372,-2,0,0,-9,7,-8,-5,-2
1688395235345380,-2,-5,11,10,2,-14,-6,-4
1688395235345380,2,8,1,12,-7,5,3,0
1688395235351440,-2,-6,-10,-10,22,1,-4,-2
1688395235351440,1,0,-4,-12,-41,-6,4,1
1688395235366161,1,3,12,4,11,1,-1,-1
1688395235366161,-4,-9,-8,-5,34,4,-1,-3
1688395235376132,0,-2,3,10,5,13,0,0
1688395235376132,0,1,-3,-6,-19,6,3,0
1688395235381707,0,-3,-36,-26,10,-9,-1,-1
1688395235381707,0,1,29,24,-54,0,-2,-1
1688395235397290,1,3,10,-1,39,15,-1,0
1688395235397290,-3,-5,-11,-4,30,-6,1,-1
1688395235405361,1,1,14,7,-19,1,7,2
1688395235405361,0,1,-5,-5,2,-1,-12,0
1688395235445393,0,2,1,0,-7,-6,7,-2
1688395235445393,-4,-6,-4,-12,30,-5,-1,-2
1688395235446396,0,-3,-1,-5,-16,4,3,0
1688395235446396,1,0,-12,-4,0,-1,-3,-1
1688395235449412,-2,-1,3,10,-24,-4,-3,-1
1688395235449412,0,-3,-7,-19,19,0,1,-1
1688395235450412,2,3,-5,0,-33,-5,-1,1
1688395235450412,0,-3,-7,-7,18,-6,-4,-3
1688395235456500,-2,-5,2,7,-5,1,-3,-1
1688395235456500,-2,0,5,10,-11,5,1,1
1688395235463273,0,-1,-10,-5,7,-2,-2,-2
1688395235463273,-1,1,12,-1,-11,-1,1,0
1688395235471178,0,-2,-13,-12,6,-5,-3,1
1688395235471178,0,0,2,1,-8,13,1,-1
1688395235486180,-4,-2,17,10,7,-4,0,-1
1688395235486180,-4,-1,-10,0,-14,-1,-1,-2
1688395235494246,1,0,3,-7,12,-1,2,-1
1688395235494246,0,2,0,5,-15,7,1,1
1688395235508984,0,-1,-2,-11,27,-8,3,-3
1688395235508984,0,0,-3,0,-5,-7,-16,-1
1688395235517056,0,-2,-3,-3,15,3,8,-2
1688395235517056,-1,1,-4,-5,-18,-7,-2,-1
1688395235523983,1,0,-2,9,4,-8,0,-1
1688395235523983,-1,-2,3,0,23,13,6,1
1688395235530981,0,-1,-1,-5,1,-3,-7,-2
1688395235530981,1,0,-1,4,7,-19,-6,-1
1688395235546160,-1,-2,2,-5,8,21,2,0
1688395235546160,0,-2,5,6,0,-11,3,1
1688395235554128,0,2,0,1,9,22,-3,-2
1688395235554128,0,1,3,6,27,0,2,0
1688395235569194,-2,-4,-5,-4,-6,-10,-6,-3
1688395235569194,-1,1,-1,0,-3,1,2,0
1688395235577194,-1,4,1,3,3,0,0,-1
1688395235577194,0,0,-1,4,-17,-4,-4,-1
1688395235591424,-2,-1,-3,-2,-11,-6,-3,-1
1688395235591424,-1,-2,-3,0,34,9,2,-3
1688395235592398,0,-2,-2,-6,-3,-8,-2,0
1688395235592398,0,0,2,0,-38,-2,7,-1
1688395235606359,-4,-6,-5,0,22,-4,-14,-1
1688395235606359,2,5,5,-8,-47,-8,8,-2
1688395235614410,-1,-3,0,6,11,-14,-6,-2
1688395235614410,-1,-2,-3,-9,14,-1,-2,-2
1688395235628983,1,0,-3,-1,-3,4,1,-1
1688395235628983,-1,-2,-1,0,-11,4,-2,0
1688395235637321,0,-1,-2,4,10,-2,-4,-2
1688395235637321,2,0,1,0,-24,1,2,1
1688395235643338,-1,-6,-4,1,5,-6,-1,-1
1688395235643338,0,-1,3,0,-7,3,-2,0
1688395235651299,-1,-1,-1,-1,1,1,4,2
1688395235651299,-1,-2,1,5,0,10,-3,-1
1688395235666187,-1,-4,-3,-2,3,8,4,0
1688395235666187,-2,-2,-2,1,16,-9,-1,-2
1688395235674253,1,-5,-2,-5,-31,-12,1,2
1688395235674253,-2,0,0,0,11,7,-4,1
1688395235688188,1,5,6,0,-9,2,12,-7
1688395235688188,0,-1,-2,9,20,7,0,0
1688395235697181,-2,-1,-2,-5,14,4,-2,-2
1688395235697181,-3,-3,-3,-2,-37,-7,-5,0
1688395235703182,0,1,3,0,16,-6,-1,-2
1688395235703182,-1,1,3,-4,-10,2,5,3
1688395235711168,0,0,1,0,-28,-12,5,0
1688395235711168,2,-1,-2,-1,18,-1,15,15
1688395235727212,0,2,2,-3,-4,2,-15,-17
1688395235727212,-1,-4,-3,-2,-11,-5,-6,0
1688395235734271,0,1,0,-3,11,5,4,2
1688395235734271,1,0,0,-2,7,-9,-2,-2
1688395235748983,-1,0,-2,1,-1,1,8,8
1688395235748983,-5,-8,-7,-1,-13,-4,-2,-7
1688395235757047,1,3,4,2,8,5,-9,-3
1688395235757047,1,0,-2,-10,-25,-10,-20,-2
1688395235763983,0,0,1,10,47,-1,4,4
1688395235763983,-2,-3,-3,-2,-5,2,-5,-6
1688395235779681,0,-1,-2,-6,-12,-3,-3,-12
1688395235779681,0,0,-3,-2,11,6,2,5
1688395235786182,0,-2,-2,-1,-17,2,2,2
1688395235786182,-1,1,1,-1,-1,-4,9,7
1688395235802968,-4,-3,-2,-2,-20,-3,-12,-2
1688395235802968,-1,0,1,1,-4,-6,1,-7
1688395235809031,-2,2,0,-4,-8,4,10,0
1688395235809031,1,1,2,8,18,-1,-2,9
1688395235832198,-6,-5,-5,-1,-13,2,12,-15
1688395235832198,-1,-2,-4,-3,17,-21,-28,-7
1688395235832198,0,2,3,-1,-23,5,-1,5
1688395235832198,0,-4,-2,-6,-3,-3,-3,-1
1688395235840206,3,8,7,9,-5,4,2,7
1688395235840206,-3,-7,-6,-3,27,-18,1,-2
1688395235846201,-1,-1,-3,-3,-4,-4,-5,-3
1688395235846201,1,1,-1,-4,-20,1,0,-1
1688395235855195,-1,-2,-2,2,25,2,0,3
1688395235855195,-1,-1,0,3,24,9,8,-4
1688395235885940,2,-1,-2,-8,-64,-7,-12,4
1688395235885940,-3,-2,-2,-2,7,3,21,-7
1688395235887125,-1,-4,-2,-2,-9,1,-1,5
1688395235887125,-2,2,2,5,-1,6,1,-2
1688395235888128,0,0,0,1,7,-3,0,0
1688395235888128,1,3,-1,3,-3,-1,-5,-1
1688395235899644,0,-2,-1,-13,10,-3,-4,-1
1688395235899644,0,-2,5,4,-12,4,5,-2
1688395235906163,-1,0,0,4,19,2,0,-2
1688395235906163,0,1,-1,1,1,-4,-5,-1
1688395235915187,-2,-4,-3,1,-24,-9,3,5
1688395235915187,1,4,1,1,20,11,0,-1
1688395235937249,1,-2,0,0,7,-5,-2,-5
1688395235937249,0,0,1,-4,13,1,-6,2
1688395235939186,-2,-2,-2,-2,1,4,1,1
1688395235939186,-4,-4,-3,0,-18,2,1,-3
1688395235943185,1,3,1,2,9,-1,1,0
1688395235943185,0,1,0,-5,2,-1,-2,-2
1688395235959735,0,1,0,0,-29,-1,-4,0
1688395235959735,1,0,-1,-6,14,-5,2,-2
1688395235965800,-3,-4,-2,1,8,3,-5,-1
1688395235965800,0,-1,-1,-7,-16,-1,-4,-1
1688395235975224,-1,2,-2,6,20,0,-1,1
1688395235975224,0,-2,-3,1,-6,-2,1,-1
1688395235997698,-1,-4,-1,-2,-14,-2,0,1
1688395235997698,1,-1,1,-2,23,2,-1,-1
1688395235998702,-3,-4,-1,5,-22,-11,-2,-4
1688395235998702,0,-1,-3,-5,12,21,0,-2
1688395236003704,-1,-2,-1,0,1,-13,-1,0
1688395236003704,-2,2,5,9,6,0,-1,0
1688395236020163,0,-3,-1,-12,5,2,8,0
1688395236020163,2,1,0,-4,-21,-4,-2,0
1688395236026219,-2,-1,1,14,36,6,-3,0
1688395236026219,-3,-4,-4,-4,-34,-4,0,-4
1688395236035214,0,-1,-4,0,3,0,-3,1
1688395236035214,1,0,4,4,-1,-2,2,1
1688395236048982,-1,0,-1,-2,0,-8,1,0
1688395236048982,-2,0,-4,2,4,-2,-8,-1
1688395236057998,0,2,3,3,5,8,-1,0
1688395236057998,-3,-2,-5,-3,-8,-2,0,1
1688395236063988,2,2,1,-6,-14,-5,-1,-1
1688395236063988,-1,-5,-1,0,-22,-12,2,-1
1688395236079711,-1,0,-1,5,39,14,-2,-1
1688395236079711,-3,-1,-1,3,7,14,3,-1
1688395236085776,1,-4,-3,-4,-16,-3,1,2
1688395236085776,2,4,2,-5,-1,-1,0,-1
1688395236119235,-3,-9,-16,-9,-7,-6,-3,-3
1688395236119235,5,13,32,34,6,-6,-3,-2
1688395236120245,-4,-3,-12,-5,5,8,1,-1
1688395236120245,-3,-5,-2,-2,-2,9,1,0
1688395236124261,1,1,-1,0,3,-4,-2,1
1688395236124261,-4,-7,-20,-18,-9,-8,-2,-2
1688395236125242,-1,-3,4,-1,-16,-2,-2,0
1688395236125242,2,-2,-5,-10,12,2,2,1
1688395236139624,6,18,59,56,14,2,1,2
1688395236139624,-4,-9,-14,-17,-8,-2,1,0
1688395236145629,6,9,9,11,2,3,0,-1
1688395236145629,-4,-7,-1,-11,5,3,0,0
1688395236154710,-11,-26,-66,-97,-33,-1,-2,-4
1688395236154710,4,15,-9,45,-16,-14,0,-1
1688395236169030,1,3,-8,16,30,7,0,-1
1688395236169030,-2,-6,-48,-38,-9,-5,-1,0
1688395236178031,-2,-8,-50,-3,-4,-3,0,0
1688395236178031,-6,-22,-35,-59,-26,-4,-2,-4
1688395236184030,-3,6,25,-28,-15,0,-2,-3
1688395236184030,11,31,77,117,29,10,1,4
1688395236199707,7,19,60,47,18,10,9,4
1688395236199707,-5,-11,-49,1,3,7,-14,-2
1688395236205869,0,-1,7,-18,-15,0,16,-1
1688395236205869,-13,-32,-93,-87,-11,-13,-3,-8
1688395236222191,1,4,3,-100,-4,-7,-9,1
1688395236222191,8,19,-14,122,19,-8,3,1
1688395236228190,5,20,58,38,19,3,-2,3
1688395236228190,-4,-5,-37,9,-9,-4,-7,-3
1688395236237187,-5,-13,-37,-63,-1,-1,13,0
1688395236237187,-7,-16,-37,-53,-11,-3,9,-2
1688395236243240,-10,-23,-20,-55,-27,4,-8,-1
1688395236243240,1,1,-61,-74,-11,-11,3,-3
1688395236260192,19,46,73,117,42,16,4,9
1688395236260192,2,6,10,-52,3,2,-7,-3
1688395236266168,-1,-1,-38,14,7,-5,-3,-3
1688395236266168,-4,-13,23,-25,-10,-5,-6,2
1688395236282223,-3,-13,-56,-11,-12,-3,-10,-3
1688395236282223,-3,2,39,39,9,3,16,-1
1688395236289161,-5,-5,1,-4,-8,8,-4,-4
1688395236289161,-1,7,18,19,10,1,6,0
1688395236313146,-1,-3,-16,-5,-16,-13,-14,1
1688395236313146,2,6,41,15,11,-13,-5,-2
1688395236314142,2,-8,-46,-20,-5,-20,5,-12
1688395236314142,-5,2,1,5,-3,3,2,3
1688395236320142,3,2,9,28,4,2,-11,-3
1688395236320142,-11,-7,-4,-33,-8,3,6,3
1688395236326192,-2,-4,-13,3,-2,3,-7,-5
1688395236326192,1,7,15,14,6,7,9,-2
1688395236342189,-11,-8,1,3,-2,-2,0,-4
1688395236342189,15,6,-2,-21,0,-14,-23,-4
1688395236348180,-1,-3,-19,-10,3,-16,0,-3
1688395236348180,6,0,18,23,4,12,-10,7
1688395236357175,-15,-2,-14,3,-3,17,9,-16
1688395236357175,8,-2,-10,-25,0,4,-13,-3
1688395236380161,-5,-6,-1,20,8,18,8,7
1688395236380161,14,3,6,-3,-6,7,-11,1
1688395236381106,-7,-2,-3,0,-3,7,-15,10
1688395236381106,-7,9,13,4,5,14,4,-26
1688395236386155,-7,-1,-2,-2,-8,-5,15,14
1688395236386155,-2,-2,5,1,8,-4,-23,-17
1688395236403095,15,0,-7,-9,-1,-19,8,6
1688395236403095,-26,-12,1,-3,-3,9,27,1
1688395236409098,7,-3,-16,-2,-11,-10,-66,15
1688395236409098,-13,-3,2,-4,-5,-2,17,-4
1688395236417150,9,-4,-2,1,-6,-3,23,-9
1688395236417150,6,5,10,5,7,-2,-11,3
1688395236431507,-4,-4,-11,-2,-6,0,2,-14
1688395236431507,4,6,7,17,3,-12,-5,13
1688395236446180,18,3,9,2,4,4,9,-11
1688395236446180,-29,-16,-22,-21,-17,-23,-30,17
1688395236453220,33,15,31,28,21,2,40,26
1688395236453220,-53,4,8,9,2,-10,-22,-54
1688395236462195,-20,-8,-9,-13,-1,-6,-7,34
1688395236462195,10,-5,-7,2,5,41,-10,-14
1688395236468998,-7,-1,-11,-23,-19,-36,-6,-41
1688395236468998,0,-6,-5,0,3,-2,15,55
1688395236477174,-16,-20,-18,-2,-6,-8,14,-16
1688395236477174,-24,6,4,1,3,-3,-34,-60
1688395236491529,20,1,-3,-14,2,3,-7,91
1688395236491529,26,4,6,1,5,6,-41,-9
1688395236500153,-36,0,-6,0,-2,2,38,-17
1688395236500153,26,0,-4,-5,2,-10,7,-39
1688395236513254,-2,9,-1,0,-11,4,-10,-5
1688395236513254,-16,-13,-5,-2,7,-18,-4,-8
1688395236522207,20,-4,-14,-11,2,2,-34,18
1688395236522207,6,8,8,5,0,-2,30,-13
1688395236528240,22,7,3,-1,3,19,18,-4
1688395236528240,-5,3,2,-1,-5,11,12,-22
1688395236537198,4,1,5,13,11,-18,-10,-3
1688395236537198,4,2,-6,-17,-1,-16,3,47
1688395236551507,-18,-11,-13,-10,7,-16,6,-26
1688395236551507,31,0,9,11,0,53,14,14
1688395236560157,-6,1,-1,-10,0,-10,-10,39
1688395236560157,-28,-6,-2,3,-6,-8,18,-23
1688395236573287,-4,-2,-1,12,6,-31,-14,-19
1688395236573287,28,3,-3,-10,1,11,20,78
1688395236582235,-35,15,30,12,4,-9,17,-98
1688395236582235,28,-3,-13,-13,6,15,-21,65
1688395236588216,-15,-4,-4,-6,-10,17,-5,-96
1688395236588216,-19,-5,-9,5,10,-10,7,-1
1688395236597224,34,12,2,-13,-6,28,-6,14
1688395236597224,-4,-20,-13,1,-11,-43,-7,-10
