timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
1692755970382889600,-2.0,-8.0,17.0,39.0,24.0,8.0,-1.0,-1.0,-0.551863492,-2.979583979,9.33618927,0.471905053,0.122972436,-0.221563548,-15.0,27.0,-16.0,12.0,48.0,1.865083098,0.183156431,10.46505547,0.056889739,-0.046764165,0.037171517,-55.0,-48.0,-3.0,-17.0,39.0
1692755970384889700,-2.0,-13.0,-21.0,13.0,18.0,2.0,0.0,-2.0,-0.551863492,-2.979583979,9.33618927,0.471905053,0.122972436,-0.221563548,-15.0,27.0,-16.0,12.0,48.0,1.865083098,0.183156431,10.46505547,0.056889739,-0.046764165,0.037171517,-55.0,-48.0,-3.0,-17.0,39.0
1692755970386887400,-1.0,20.0,-1.0,-15.0,-23.0,-14.0,-4.0,-2.0,-0.551863492,-2.979583979,9.33618927,0.471905053,0.122972436,-0.221563548,-15.0,27.0,-16.0,12.0,48.0,1.865083098,0.183156431,10.46505547,0.056889739,-0.046764165,0.037171517,-55.0,-48.0,-3.0,-17.0,39.0
1692755970388885800,-4.0,-5.0,-8.0,-17.0,-41.0,-2.0,-5.0,-3.0,-0.551863492,-2.979583979,9.33618927,0.471905053,0.122972436,-0.221563548,-15.0,27.0,-16.0,12.0,48.0,1.865083098,0.183156431,10.46505547,0.056889739,-0.046764165,0.037171517,-55.0,-48.0,-3.0,-17.0,39.0
1692755970390886000,-2.0,4.0,-4.0,-50.0,-3.0,0.0,1.0,-1.0,-0.551863492,-2.979583979,9.33618927,0.471905053,0.122972436,-0.221563548,-15.0,27.0,-16.0,12.0,48.0,1.865083098,0.183156431,10.46505547,0.056889739,-0.046764165,0.037171517,-55.0,-48.0,-3.0,-17.0,39.0
1692755970391883400,-2.0,4.0,-4.0,-50.0,-3.0,0.0,1.0,-1.0,-0.342370838,-2.837129116,9.582792282,0.141624808,-0.242747322,-0.195050538,-12.0,22.0,-17.0,13.0,49.0,1.912967205,0.240617275,10.53089619,0.008260337,-0.016254211,0.03956968,-53.0,-49.0,-4.0,-15.0,39.0
1692755970391887100,0.0,-2.0,11.0,81.0,27.0,3.0,-2.0,2.0,-0.342370838,-2.837129116,9.582792282,0.141624808,-0.242747322,-0.195050538,-12.0,22.0,-17.0,13.0,49.0,1.912967205,0.240617275,10.53089619,0.008260337,-0.016254211,0.03956968,-53.0,-49.0,-4.0,-15.0,39.0
1692755970392883400,0.0,-2.0,11.0,81.0,27.0,3.0,-2.0,2.0,-0.308852017,-2.870647907,9.599552155,0.116177641,-0.250208259,-0.190520674,-14.0,25.0,-18.0,13.0,46.0,1.910573006,0.238223076,10.52131939,0.0042634,-0.01398928,0.03996937,-53.0,-42.0,-2.0,-17.0,36.0
1692755970393883400,0.0,-2.0,11.0,81.0,27.0,3.0,-2.0,2.0,-0.269347697,-2.904166698,9.623494148,0.090996936,-0.254604906,-0.184791744,-12.0,22.0,-17.0,13.0,47.0,1.903390408,0.238223076,10.51653099,0.000399694,-0.011591119,0.040502299,-53.0,-48.0,-4.0,-15.0,38.0
1692755970393883900,-6.0,-4.0,-7.0,-14.0,-22.0,-8.0,-4.0,-3.0,-0.269347697,-2.904166698,9.623494148,0.090996936,-0.254604906,-0.184791744,-12.0,22.0,-17.0,13.0,47.0,1.903390408,0.238223076,10.51653099,0.000399694,-0.011591119,0.040502299,-53.0,-48.0,-4.0,-15.0,38.0
1692755970394883400,-6.0,-4.0,-7.0,-14.0,-22.0,-8.0,-4.0,-3.0,-0.226252064,-2.946065187,9.655815125,0.067148544,-0.255670756,-0.177863702,-15.0,23.0,-13.0,12.0,46.0,1.903390408,0.237025961,10.50575733,-0.003464012,-0.009059724,0.040901989,-54.0,-48.0,-6.0,-18.0,39.0
1692755970395883400,-6.0,-4.0,-7.0,-14.0,-22.0,-8.0,-4.0,-3.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970396882200,-4.0,-7.0,-14.0,-83.0,-18.0,-8.0,-3.0,-4.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970397881000,5.0,9.0,23.0,46.0,-2.0,7.0,3.0,2.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970398881100,9.0,26.0,-6.0,82.0,-12.0,3.0,0.0,0.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970399880200,-8.0,-9.0,6.0,-70.0,-45.0,-12.0,-3.0,-4.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970401881500,0.0,-18.0,8.0,114.0,43.0,15.0,3.0,2.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970403878300,-1.0,11.0,-12.0,-32.0,-14.0,-7.0,-1.0,1.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970404877600,-4.0,-9.0,0.0,-54.0,-24.0,-7.0,-1.0,0.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970416869800,5.0,0.0,-10.0,1.0,18.0,2.0,0.0,2.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970418872600,5.0,21.0,4.0,-39.0,-27.0,-10.0,-4.0,-1.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970422866500,-10.0,-16.0,-10.0,-18.0,-14.0,-6.0,-5.0,-4.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970423866900,2.0,-5.0,-2.0,-10.0,-5.0,3.0,2.0,1.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970438858000,2.0,19.0,1.0,3.0,9.0,6.0,3.0,1.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970441857100,2.0,-14.0,29.0,49.0,74.0,17.0,3.0,2.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970449852500,3.0,-5.0,-36.0,29.0,4.0,-4.0,-2.0,-1.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970452851800,-5.0,-6.0,-1.0,-90.0,-30.0,-13.0,-4.0,-4.0,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16.0,32.0,-12.0,13.0,48.0,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51.0,-43.0,-8.0,-24.0,44.0
1692755970472836400,-5.0,-6.0,-1.0,-90.0,-30.0,-13.0,-4.0,-4.0,0.278924495,-3.394978046,10.47702694,-0.384105653,-0.125903517,-0.034640122,-12.0,23.0,-19.0,12.0,47.0,1.808819413,0.010773907,10.44470501,0.012257273,-0.01718683,0.038370594,-57.0,-65.0,-8.0,-16.0,40.0
1692755970473836400,-5.0,-6.0,-1.0,-90.0,-30.0,-13.0,-4.0,-4.0,0.323217243,-3.438073635,10.50575733,-0.403823912,-0.132565081,-0.037437979,-13.0,22.0,-18.0,13.0,46.0,1.802833915,-0.002394202,10.42315674,0.015188362,-0.019318528,0.037970904,-54.0,-56.0,-5.0,-21.0,39.0
1692755970474836400,-5.0,-6.0,-1.0,-90.0,-30.0,-13.0,-4.0,-4.0,0.356736064,-3.466804028,10.51892471,-0.414349139,-0.137361407,-0.039436448,-16.0,18.0,-19.0,13.0,46.0,1.799242616,-0.004788403,10.41717148,0.018918836,-0.021849923,0.037970904,-58.0,-52.0,-2.0,-18.0,40.0
1692755970475836400,-5.0,-6.0,-1.0,-90.0,-30.0,-13.0,-4.0,-4.0,0.416591108,-3.511096716,10.53328991,-0.426606447,-0.144822344,-0.04276723,-15.0,21.0,-18.0,6.0,45.0,1.793257117,0.007182605,10.40879154,0.022382848,-0.023981623,0.037970904,-55.0,-55.0,-9.0,-18.0,39.0
1692755970476836400,-5.0,-6.0,-1.0,-90.0,-30.0,-13.0,-4.0,-4.0,0.475249052,-3.552995205,10.53927612,-0.434866786,-0.152416542,-0.046098009,-15.0,18.0,-17.0,8.0,46.0,1.789665818,0.017956512,10.40759468,0.02571363,-0.026113322,0.037837673,-57.0,-57.0,2.0,-15.0,37.0
1692755970487830700,-1.0,3.0,12.0,14.0,-24.0,-14.0,-5.0,-3.0,0.475249052,-3.552995205,10.53927612,-0.434866786,-0.152416542,-0.046098009,-15.0,18.0,-17.0,8.0,46.0,1.789665818,0.017956512,10.40759468,0.02571363,-0.026113322,0.037837673,-57.0,-57.0,2.0,-15.0,37.0
1692755970488829400,-6.0,-35.0,2.0,-88.0,-71.0,-4.0,-2.0,-3.0,0.475249052,-3.552995205,10.53927612,-0.434866786,-0.152416542,-0.046098009,-15.0,18.0,-17.0,8.0,46.0,1.789665818,0.017956512,10.40759468,0.02571363,-0.026113322,0.037837673,-57.0,-57.0,2.0,-15.0,37.0
