timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
1689140534321118600,2.0,-4.0,-3.0,1.0,2.0,1.0,-1.0,-2.0,,,,,,,,,,,,
1689140534323117400,4.0,5.0,-9.0,-3.0,-4.0,-2.0,1.0,1.0,,,,,,,,,,,,
1689140534324118200,0.0,-4.0,-4.0,-1.0,0.0,-2.0,-1.0,0.0,,,,,,,,,,,,
1689140534325118500,-7.0,0.0,-10.0,-5.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,
1689140534327114800,2.0,-5.0,19.0,6.0,-3.0,0.0,2.0,-3.0,,,,,,,,,,,,
1689140534328114100,-2.0,4.0,3.0,0.0,0.0,-1.0,-5.0,-16.0,,,,,,,,,,,,
1689140534329114300,0.0,-4.0,-16.0,-2.0,2.0,-1.0,-1.0,3.0,,,,,,,,,,,,
1689140534331115400,3.0,-4.0,7.0,-1.0,0.0,-1.0,-2.0,0.0,,,,,,,,,,,,
1689140534332115400,-3.0,1.0,-7.0,-4.0,-6.0,-1.0,0.0,0.0,,,,,,,,,,,,
1689140534334111100,-3.0,-22.0,16.0,5.0,12.0,2.0,-2.0,8.0,,,,,,,,,,,,
1689140534344107700,-1.0,-9.0,-29.0,2.0,-3.0,-2.0,-2.0,-2.0,,,,,,,,,,,,
1689140534348103600,0.0,1.0,-7.0,-2.0,-4.0,0.0,3.0,-2.0,,,,,,,,,,,,
1689140534350103000,-3.0,-1.0,-12.0,-7.0,-1.0,-2.0,-3.0,-1.0,,,,,,,,,,,,
1689140534352102300,2.0,-3.0,9.0,-3.0,-4.0,1.0,2.0,-2.0,,,,,,,,,,,,
1689140534362095500,-1.0,6.0,-2.0,0.0,-1.0,0.0,-4.0,36.0,,,,,,,,,,,,
1689140534364094300,-14.0,-4.0,5.0,0.0,-1.0,-1.0,-1.0,-54.0,,,,,,,,,,,,
1689140534374088000,0.0,11.0,-1.0,12.0,5.0,-2.0,-2.0,-1.0,,,,,,,,,,,,
1689140534376088800,7.0,-38.0,-38.0,-12.0,-3.0,0.0,2.0,4.0,,,,,,,,,,,,
1689140534377088400,-12.0,20.0,32.0,1.0,0.0,0.0,2.0,-10.0,,,,,,,,,,,,
1689140534379085600,37.0,-2.0,-14.0,0.0,0.0,0.0,-2.0,8.0,,,,,,,,,,,,
1689140534392079600,0.0,-2.0,-9.0,-14.0,-4.0,0.0,1.0,3.0,,,,,,,,,,,,
1689140534394076500,0.0,15.0,32.0,14.0,2.0,0.0,0.0,-19.0,,,,,,,,,,,,
