timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
1692755899703668200,-3.0,18.0,5.0,9.0,-1.0,2.0,-1.0,0.0,1.373074651,-5.245696068,8.755595207,-0.063551299,0.015321592,-0.003330781,-35.0,-16.0,10.0,19.0,46.0,3.11964488,1.838746905,9.892841339,-0.059154671,-0.047163859,0.019451762,148.0,47.0,51.0,53.0,278.0
1692755899704665900,1.0,16.0,14.0,-1.0,-3.0,-3.0,-3.0,0.0,1.373074651,-5.245696068,8.755595207,-0.063551299,0.015321592,-0.003330781,-35.0,-16.0,10.0,19.0,46.0,3.11964488,1.838746905,9.892841339,-0.059154671,-0.047163859,0.019451762,148.0,47.0,51.0,53.0,278.0
1692755899706665500,-4.0,-28.0,-24.0,7.0,3.0,-3.0,0.0,-3.0,1.373074651,-5.245696068,8.755595207,-0.063551299,0.015321592,-0.003330781,-35.0,-16.0,10.0,19.0,46.0,3.11964488,1.838746905,9.892841339,-0.059154671,-0.047163859,0.019451762,148.0,47.0,51.0,53.0,278.0
1692755899710665400,2.0,11.0,-5.0,-5.0,-16.0,-3.0,-1.0,2.0,1.373074651,-5.245696068,8.755595207,-0.063551299,0.015321592,-0.003330781,-35.0,-16.0,10.0,19.0,46.0,3.11964488,1.838746905,9.892841339,-0.059154671,-0.047163859,0.019451762,148.0,47.0,51.0,53.0,278.0
1692755899713660200,-1.0,-15.0,-13.0,-23.0,-4.0,-2.0,0.0,-1.0,1.373074651,-5.245696068,8.755595207,-0.063551299,0.015321592,-0.003330781,-35.0,-16.0,10.0,19.0,46.0,3.11964488,1.838746905,9.892841339,-0.059154671,-0.047163859,0.019451762,148.0,47.0,51.0,53.0,278.0
1692755899714659300,-2.0,-21.0,10.0,40.0,29.0,7.0,-1.0,-4.0,1.373074651,-5.245696068,8.755595207,-0.063551299,0.015321592,-0.003330781,-35.0,-16.0,10.0,19.0,46.0,3.11964488,1.838746905,9.892841339,-0.059154671,-0.047163859,0.019451762,148.0,47.0,51.0,53.0,278.0
1692755899716659400,-3.0,7.0,6.0,-6.0,-3.0,-2.0,0.0,0.0,1.373074651,-5.245696068,8.755595207,-0.063551299,0.015321592,-0.003330781,-35.0,-16.0,10.0,19.0,46.0,3.11964488,1.838746905,9.892841339,-0.059154671,-0.047163859,0.019451762,148.0,47.0,51.0,53.0,278.0
1692755899718657000,2.0,12.0,6.0,7.0,2.0,8.0,2.0,2.0,1.373074651,-5.245696068,8.755595207,-0.063551299,0.015321592,-0.003330781,-35.0,-16.0,10.0,19.0,46.0,3.11964488,1.838746905,9.892841339,-0.059154671,-0.047163859,0.019451762,148.0,47.0,51.0,53.0,278.0
1692755899720655600,0.0,-10.0,3.0,0.0,8.0,-11.0,-3.0,-1.0,1.373074651,-5.245696068,8.755595207,-0.063551299,0.015321592,-0.003330781,-35.0,-16.0,10.0,19.0,46.0,3.11964488,1.838746905,9.892841339,-0.059154671,-0.047163859,0.019451762,148.0,47.0,51.0,53.0,278.0
1692755899721655400,-4.0,-12.0,-4.0,-20.0,-14.0,-1.0,0.0,-3.0,1.373074651,-5.245696068,8.755595207,-0.063551299,0.015321592,-0.003330781,-35.0,-16.0,10.0,19.0,46.0,3.11964488,1.838746905,9.892841339,-0.059154671,-0.047163859,0.019451762,148.0,47.0,51.0,53.0,278.0
1692755899722655200,0.0,5.0,-13.0,-9.0,0.0,0.0,-2.0,1.0,1.373074651,-5.245696068,8.755595207,-0.063551299,0.015321592,-0.003330781,-35.0,-16.0,10.0,19.0,46.0,3.11964488,1.838746905,9.892841339,-0.059154671,-0.047163859,0.019451762,148.0,47.0,51.0,53.0,278.0
1692755899724651200,0.0,5.0,-13.0,-9.0,0.0,0.0,-2.0,1.0,1.373074651,-5.270834923,8.729259491,-0.060486984,0.011457887,-0.004663093,-40.0,-13.0,10.0,20.0,45.0,3.155557871,2.000355482,9.945513725,0.011058193,-0.082736596,0.002664625,169.0,55.0,56.0,60.0,290.0
1692755899725651200,0.0,5.0,-13.0,-9.0,0.0,0.0,-2.0,1.0,1.373074651,-5.269638062,8.729259491,-0.059554365,0.011058193,-0.004796324,-40.0,-25.0,10.0,18.0,46.0,3.15795207,2.019509077,9.950302124,0.010258805,-0.082869835,0.002264931,175.0,61.0,55.0,63.0,289.0
