timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
1693678206499767000,-2.0,1.0,14.0,1.0,-6.0,-5.0,-17.0,-5.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206501766500,2.0,4.0,2.0,-5.0,-1.0,-1.0,3.0,-1.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206502766800,2.0,-6.0,-9.0,6.0,4.0,12.0,-6.0,0.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206504765300,0.0,4.0,16.0,1.0,-3.0,-22.0,8.0,1.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206505764200,-2.0,-6.0,-19.0,-8.0,0.0,2.0,-3.0,0.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206507763500,-8.0,-17.0,-62.0,-10.0,3.0,-4.0,-1.0,-3.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206508763000,-1.0,10.0,53.0,-19.0,-14.0,-4.0,-4.0,-3.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206509762200,6.0,4.0,31.0,40.0,-2.0,-1.0,-1.0,3.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206510761700,-2.0,-4.0,-12.0,9.0,4.0,3.0,8.0,1.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206512759600,0.0,-6.0,-9.0,-1.0,-16.0,-8.0,-10.0,-2.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206513759300,-6.0,-7.0,-54.0,-53.0,11.0,4.0,-5.0,-2.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206515758400,1.0,-1.0,-11.0,34.0,7.0,-10.0,-7.0,-1.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206525753100,1.0,8.0,67.0,16.0,-19.0,-1.0,-1.0,-3.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206527752000,-1.0,0.0,-28.0,-38.0,6.0,-6.0,5.0,1.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206537745500,-2.0,-9.0,-15.0,9.0,9.0,25.0,-1.0,7.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206538745800,-2.0,0.0,15.0,-49.0,-8.0,51.0,-2.0,-10.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206541743400,-8.0,-10.0,-84.0,-81.0,46.0,-47.0,-2.0,-1.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206542744600,5.0,-7.0,5.0,39.0,-14.0,0.0,12.0,3.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206564731600,-5.0,15.0,34.0,61.0,7.0,16.0,7.0,0.0,1.017535686,-0.848744512,10.23281765,-0.060220521,0.000133231,-0.007460949,-32.0,41.0,90.0,6.0,-7.0,-0.122104287,2.418143749,10.22922707,0.053159267,-0.027445635,0.038104136,14.0,31.0,-24.0,-30.0,48.0
1693678206565727800,-5.0,15.0,34.0,61.0,7.0,16.0,7.0,0.0,1.024718285,-0.85353291,10.23640919,-0.060753446,0.000399694,-0.008127105,-30.0,44.0,90.0,8.0,-9.0,-0.116118781,2.412158251,10.23042393,0.053026035,-0.027845331,0.038237367,14.0,36.0,-25.0,-27.0,46.0
