,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
0,1690861075746057700,0.543483794,-0.093373865,9.287108421,-0.105785601,0.023448698,-0.012257273,339377.5938,339377.5938,299902.3125,204234.75,298346.2813
1,1690861075747057700,0.541089594,-0.090979666,9.287108421,-0.106052071,0.023448698,-0.012257273,331962.0,342702.75,307868.5625,200881.7188,304244.75
2,1690861075748057700,0.541089594,-0.090979666,9.289502144,-0.106052071,0.023182238,-0.012257273,334713.3438,339377.5938,294129.0,201546.4063,297959.1875
3,1690861075749057700,0.545877993,-0.090979666,9.29189682,-0.105785601,0.023448698,-0.012257273,320000.0625,360112.4063,296802.3125,199342.0625,299122.9063
4,1690861075750057700,0.548272192,-0.093373865,9.294290543,-0.105785601,0.023182238,-0.012257273,325675.5625,343662.0,292994.1563,207894.7656,304644.2188
0,1690861075793658600,0.550666392,-0.090979666,9.284713745,-0.106052071,0.023182238,-0.012523737,342224.6563,349506.0313,310320.6563,203333.3281,296802.3125
1,1690861075794658600,0.550666392,-0.090979666,9.289502144,-0.106052071,0.023182238,-0.012257273,347541.0,358053.625,306653.3438,206053.7813,298346.2813
2,1690861075795658600,0.550666392,-0.090979666,9.289502144,-0.106052071,0.023448698,-0.012523737,336567.125,357541.9688,291866.0625,196739.1094,298734.1563
3,1690861075796658600,0.550666392,-0.090979666,9.289502144,-0.106052071,0.023448698,-0.012523737,328795.8125,349506.0313,307462.7188,203783.375,303051.25
4,1690861075797658600,0.550666392,-0.088585466,9.294290543,-0.106052071,0.023448698,-0.012523737,339377.5938,334252.3438,311144.5938,199780.4063,303051.25
0,1690861075820645600,0.541089594,-0.086191259,9.272743225,-0.106052071,0.023981623,-0.012523737,334252.3438,357541.9688,296802.3125,203783.375,305044.5625
1,1690861075821645600,0.541089594,-0.088585466,9.267954826,-0.105785601,0.023981623,-0.012523737,324352.375,339377.5938,312802.4063,206053.7813,299902.3125
2,1690861075822645600,0.538695395,-0.088585466,9.267954826,-0.105785601,0.023715161,-0.012790199,349506.0313,360112.4063,303051.25,202437.2188,305445.5938
3,1690861075823645600,0.538695395,-0.090979666,9.267954826,-0.106052071,0.023715161,-0.012790199,325233.6875,343181.8438,309500.0313,204234.75,304244.75
4,1690861075824645600,0.541089594,-0.088585466,9.270348549,-0.106052071,0.023715161,-0.012790199,334252.3438,364812.7188,302654.8125,204460.9531,298346.2813
0,1690861075841476200,0.538695395,-0.08379706,9.287108421,-0.106052071,0.023448698,-0.012523737,322165.0,333333.2813,310732.0938,200000.0156,304244.75
1,1690861075842476200,0.536301196,-0.079008654,9.287108421,-0.106318533,0.023448698,-0.012523737,342224.6563,345108.7188,299902.3125,204008.9063,303051.25
2,1690861075843476200,0.533906996,-0.079008654,9.287108421,-0.106318533,0.023715161,-0.012523737,335638.375,348521.3438,296034.8125,205597.0,296034.8125
3,1690861075844476200,0.531512797,-0.076614454,9.284713745,-0.106318533,0.023715161,-0.012523737,330147.0625,339377.5938,311557.7813,200219.9688,299122.9063
4,1690861075845476200,0.533906996,-0.076614454,9.282320023,-0.106318533,0.023981623,-0.012523737,349506.0313,351488.4063,311971.8438,201324.5156,299122.9063
0,1690861075861473300,0.536301196,-0.090979666,9.272743225,-0.105785601,0.023715161,-0.012523737,330147.0625,333333.2813,294129.0,204687.4844,296034.8125
1,1690861075862473300,0.536301196,-0.090979666,9.277531624,-0.105785601,0.023715161,-0.012257273,332418.125,349506.0313,314473.6563,206971.4844,299902.3125
2,1690861075863473300,0.533906996,-0.093373865,9.272743225,-0.105785601,0.023715161,-0.012257273,340796.5938,360629.9688,304644.2188,204687.4844,304244.75
3,1690861075864473300,0.533906996,-0.095768064,9.272743225,-0.106052071,0.023715161,-0.012523737,351986.875,357541.9688,313218.9688,204234.75,299902.3125
4,1690861075865473300,0.533906996,-0.095768064,9.272743225,-0.106052071,0.023715161,-0.012523737,331962.0,342224.6563,305847.4375,197385.5938,304644.2188
0,1690861075881462000,0.541089594,-0.090979666,9.275136948,-0.105519146,0.022915773,-0.012523737,347052.4063,336102.1875,306653.3438,204234.75,297959.1875
1,1690861075882462000,0.541089594,-0.093373865,9.275136948,-0.105785601,0.022915773,-0.012523737,334252.3438,335638.375,298346.2813,206053.7813,304244.75
2,1690861075883462000,0.538695395,-0.090979666,9.275136948,-0.105785601,0.022915773,-0.012790199,327453.0313,347541.0,306653.3438,199342.0625,303846.0938
3,1690861075884462000,0.536301196,-0.090979666,9.277531624,-0.105785601,0.023182238,-0.012790199,338906.6875,339849.6875,307057.6875,205369.1719,299512.1875
4,1690861075885462000,0.538695395,-0.088585466,9.284713745,-0.106052071,0.023182238,-0.012523737,324792.5625,341747.4688,306653.3438,205597.0,299902.3125
0,1690861075901512500,0.531512797,-0.086191259,9.272743225,-0.105785601,0.022915773,-0.012523737,333792.3438,347052.4063,294508.6875,197601.7813,299902.3125
1,1690861075902512500,0.529118598,-0.086191259,9.279925346,-0.105785601,0.022915773,-0.012523737,322165.0,346078.4375,309090.9375,206053.7813,296802.3125
