timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
1692755970187000900,0.119710088,-3.881000996,8.549694061,0.704526782,0.430736601,-0.389434904,-10,34,-11,13,47,1.810016513,0.144849196,10.38604736,0.030776417,-0.024248086,0.033973966,-54,-63,-5,-22,38
1692755970188000900,0.073023155,-3.822343111,8.544905663,0.704793274,0.423142403,-0.386237353,-10,25,-17,13,47,1.800439715,0.142454997,10.37168217,0.029577335,-0.025313934,0.032774884,-56,-55,-21,-18,35
1692755970189000900,0.02873042,-3.760093689,8.541314125,0.703727424,0.413150072,-0.384238869,-8,26,-11,13,48,1.807622313,0.134075299,10.36090755,0.030243492,-0.02571363,0.031709034,-54,-52,-5,-14,39
1692755970190000900,-0.026336219,-3.672705412,8.549694061,0.700396657,0.396762639,-0.383173048,-13,25,-15,13,46,1.818396211,0.126892686,10.36809063,0.031709034,-0.026113322,0.031709034,-51,-51,-4,-11,39
1692755970191000900,-0.079008654,-3.587711334,8.566453934,0.693868279,0.378376722,-0.383705974,-13,29,-16,13,47,1.82079041,0.125695586,10.38125896,0.033041347,-0.026113322,0.032108728,-54,-60,-3,-18,37
1692755970333916400,-0.432153404,-3.108870983,9.305065155,0.535323083,0.151483908,-0.272990793,-10,26,-9,13,46,1.881842494,0.14724341,10.49857426,0.063151613,-0.051560488,0.03757121,-55,-46,-4,-18,38
1692755970334916400,-0.465672225,-3.076549292,9.315838814,0.520667672,0.145488501,-0.257935673,-14,25,-12,13,46,1.879448295,0.155623108,10.48420906,0.061286367,-0.050361406,0.037304748,-55,-55,-5,-15,39
1692755970335916400,-0.492008448,-3.044227362,9.33020401,0.505612552,0.138826951,-0.244212866,-12,24,-18,13,46,1.877054095,0.164002821,10.48061752,0.059954058,-0.04969525,0.037171517,-55,-45,-7,-15,38
1692755970336916400,-0.515950441,-3.01190567,9.334992409,0.489491582,0.132298619,-0.232355282,-13,28,-17,13,46,1.868674397,0.174776718,10.47104073,0.058355279,-0.048229709,0.037038282,-55,-48,-5,-16,36
1692755970337916400,-0.551863492,-2.979583979,9.33618927,0.471905053,0.122972436,-0.221563548,-15,27,-16,12,48,1.865083098,0.183156431,10.46505547,0.056889739,-0.046764165,0.037171517,-55,-48,-3,-17,39
1692755970391883400,-0.342370838,-2.837129116,9.582792282,0.141624808,-0.242747322,-0.195050538,-12,22,-17,13,49,1.912967205,0.240617275,10.53089619,0.008260337,-0.016254211,0.03956968,-53,-49,-4,-15,39
1692755970392883400,-0.308852017,-2.870647907,9.599552155,0.116177641,-0.250208259,-0.190520674,-14,25,-18,13,46,1.910573006,0.238223076,10.52131939,0.0042634,-0.01398928,0.03996937,-53,-42,-2,-17,36
1692755970393883400,-0.269347697,-2.904166698,9.623494148,0.090996936,-0.254604906,-0.184791744,-12,22,-17,13,47,1.903390408,0.238223076,10.51653099,0.000399694,-0.011591119,0.040502299,-53,-48,-4,-15,38
1692755970394883400,-0.226252064,-2.946065187,9.655815125,0.067148544,-0.255670756,-0.177863702,-15,23,-13,12,46,1.903390408,0.237025961,10.50575733,-0.003464012,-0.009059724,0.040901989,-54,-48,-6,-18,39
1692755970395883400,-0.187944829,-2.991554976,9.691728592,0.045298621,-0.25300613,-0.169470131,-16,32,-12,13,48,1.900996208,0.231040463,10.50336266,-0.007460949,-0.006128637,0.041168455,-51,-43,-8,-24,44
1692755970472836400,0.278924495,-3.394978046,10.47702694,-0.384105653,-0.125903517,-0.034640122,-12,23,-19,12,47,1.808819413,0.010773907,10.44470501,0.012257273,-0.01718683,0.038370594,-57,-65,-8,-16,40
1692755970473836400,0.323217243,-3.438073635,10.50575733,-0.403823912,-0.132565081,-0.037437979,-13,22,-18,13,46,1.802833915,-0.002394202,10.42315674,0.015188362,-0.019318528,0.037970904,-54,-56,-5,-21,39
1692755970474836400,0.356736064,-3.466804028,10.51892471,-0.414349139,-0.137361407,-0.039436448,-16,18,-19,13,46,1.799242616,-0.004788403,10.41717148,0.018918836,-0.021849923,0.037970904,-58,-52,-2,-18,40
1692755970475836400,0.416591108,-3.511096716,10.53328991,-0.426606447,-0.144822344,-0.04276723,-15,21,-18,6,45,1.793257117,0.007182605,10.40879154,0.022382848,-0.023981623,0.037970904,-55,-55,-9,-18,39
1692755970476836400,0.475249052,-3.552995205,10.53927612,-0.434866786,-0.152416542,-0.046098009,-15,18,-17,8,46,1.789665818,0.017956512,10.40759468,0.02571363,-0.026113322,0.037837673,-57,-57,2,-15,37
1692755970544797300,1.256955862,-4.007893562,9.628282547,-0.450321585,-0.241681471,-0.061286367,-16,22,-21,12,46,1.818396211,0.081402861,10.50695419,0.061286367,-0.044499233,0.039303213,-51,-47,-4,-18,37
1692755970545797300,1.308431268,-4.037821293,9.597157478,-0.448989272,-0.230356812,-0.057022974,-17,19,-20,13,46,1.82198751,0.08379706,10.50695419,0.063551299,-0.045431852,0.039169986,-57,-55,-3,-14,40
1692755970546797300,1.353921056,-4.071340084,9.562441826,-0.446591109,-0.21663399,-0.052359879,-15,17,-21,13,47,1.831564307,0.079008654,10.51413631,0.065949462,-0.046897396,0.039169986,-58,-44,-7,-16,38
1692755970547797300,1.394622445,-4.106055737,9.528923035,-0.443393588,-0.201045945,-0.047430322,-11,22,-21,13,47,1.835155606,0.074220255,10.51892471,0.067548238,-0.047963247,0.039303213,-55,-53,-8,-18,39
1692755970548797300,1.430535555,-4.143166065,9.490615845,-0.438730478,-0.183992341,-0.041568145,-13,22,-24,8,46,1.835155606,0.070628949,10.52850151,0.070346095,-0.049562022,0.039702907,-58,-49,-7,-16,39
1692755970600763700,1.370680451,-4.570530891,9.498994827,-0.126303226,-0.042633995,0.031975497,-18,19,-27,10,46,1.904587507,0.294486821,10.50815105,0.031709034,-0.025180703,0.032774884,-56,-43,-3,-19,39
1692755970601763700,1.362300754,-4.552574635,9.508571625,-0.108583458,-0.04769678,0.03130934,-6,21,-25,12,49,1.902193308,0.288501292,10.51293945,0.025180703,-0.021316998,0.032108728,-55,-45,-5,-14,38
1692755970602763700,1.359906554,-4.528632641,9.518148422,-0.092062794,-0.0528928,0.030643184,-11,20,-27,11,46,1.89620769,0.277727395,10.51772785,0.019851454,-0.017986218,0.031575806,-57,-44,-5,-17,38
1692755970603763700,1.358709455,-4.497508049,9.513360023,-0.076474734,-0.057555895,0.03011026,-16,21,-26,11,46,1.887827992,0.263362199,10.52012253,0.01612098,-0.015321592,0.03130934,-58,-45,-11,-20,37
1692755970604763700,1.361103654,-4.461595058,9.503783226,-0.062085759,-0.061686065,0.029710567,-18,18,-27,11,46,1.884236693,0.248996973,10.52251625,0.014122511,-0.013589587,0.031042879,-58,-49,1,-14,38
1692755970661727600,1.211466074,-3.961206675,9.524134636,-0.008926493,-0.043033689,0.050627869,-19,21,-29,12,46,1.866280198,0.035913024,10.4973774,0.026246555,-0.020784073,0.029710567,-54,-57,-5,-14,39
