timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
1692755899515773200,1.382651448,-5.243301868,8.754398346,-0.061286367,0.01505513,-0.003597243,-40,-13,10,16,45,3.117250681,1.997961283,10.01614285,-0.078339972,-0.036771823,0.036638591,144,43,55,54,276
1692755899516773200,1.381454349,-5.24210453,8.759186745,-0.061819296,0.015188362,-0.003330781,-38,-10,6,18,46,3.128024578,1.936909199,10.01853657,-0.081537522,-0.038237367,0.029977029,143,39,57,54,270
1692755899517773200,1.380257249,-5.243301868,8.756793022,-0.062485453,0.015454824,-0.003597243,-40,-15,11,13,46,3.128024578,1.890222192,9.982624054,-0.078473203,-0.039436448,0.026113322,145,48,51,50,278
1692755899518773200,1.37666595,-5.243301868,8.756793022,-0.063018374,0.015321592,-0.003464012,-47,-13,11,19,46,3.118447781,1.8590976,9.92636013,-0.07087902,-0.042633995,0.022782542,145,44,55,53,278
1692755899519773200,1.373074651,-5.245696068,8.755595207,-0.063551299,0.015321592,-0.003330781,-35,-16,10,19,46,3.11964488,1.838746905,9.892841339,-0.059154671,-0.047163859,0.019451762,148,47,51,53,278
1692755899724651200,1.373074651,-5.270834923,8.729259491,-0.060486984,0.011457887,-0.004663093,-40,-13,10,20,45,3.155557871,2.000355482,9.945513725,0.011058193,-0.082736596,0.002664625,169,55,56,60,290
1692755899725651200,1.373074651,-5.269638062,8.729259491,-0.059554365,0.011058193,-0.004796324,-40,-25,10,18,46,3.15795207,2.019509077,9.950302124,0.010258805,-0.082869835,0.002264931,175,61,55,63,289
1692755899726651200,1.37427175,-5.27442646,8.723274231,-0.058621746,0.010658499,-0.004663093,-37,-17,13,16,46,3.161543369,2.031480074,9.939528465,0.009059724,-0.083402753,0.0021317,174,60,58,61,288
1692755899727651200,1.379060149,-5.269638062,8.722076416,-0.05808882,0.010525269,-0.004529862,-40,-28,10,20,44,3.167528868,2.043451071,9.934740067,0.007460949,-0.084335379,0.001732006,179,60,62,63,289
1692755899728651200,1.379060149,-5.266046524,8.723274231,-0.05768913,0.010258805,-0.004396631,-35,-11,11,14,46,3.169923067,2.041056871,9.92636013,0.004796324,-0.08513476,0.001598775,185,62,60,63,290
