,timestamp,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
0,1693677769202567700,-0.114921682,2.41574955,10.21007347,0.054358348,-0.026513018,0.038237367,19,36,-19,-19,52
1,1693677769203567700,-0.114921682,2.41335535,10.21127033,0.054358348,-0.026646247,0.038104136,21,36,-21,-33,56
2,1693677769204567700,-0.114921682,2.412158251,10.21246719,0.054358348,-0.026646247,0.038104136,19,32,-22,-20,49
3,1693677769205567700,-0.112527482,2.412158251,10.21366405,0.054225113,-0.026379786,0.037970904,14,31,-27,-24,48
4,1693677769206567700,-0.114921682,2.41335535,10.21725559,0.054358348,-0.026513018,0.037970904,15,39,-25,-23,52
0,1693677769224559100,-0.110133275,2.418143749,10.22922707,0.054491576,-0.025980091,0.037970904,13,36,-19,-24,52
1,1693677769225559100,-0.111330383,2.41694665,10.22922707,0.054358348,-0.025980091,0.037970904,12,40,-28,-20,52
2,1693677769226559100,-0.112527482,2.41455245,10.22443867,0.054491576,-0.025846859,0.037970904,7,36,-29,-33,46
3,1693677769227559100,-0.112527482,2.41335535,10.22324085,0.054624807,-0.02571363,0.037837673,19,32,-23,-27,50
4,1693677769228559100,-0.107739076,2.410961151,10.22084713,0.054491576,-0.02571363,0.038104136,18,35,-23,-26,54
0,1693677769251541900,-0.118512981,2.408566952,10.21605873,0.053958651,-0.026779478,0.038104136,18,34,-21,-21,49
1,1693677769252541900,-0.119710088,2.407369852,10.21725559,0.053958651,-0.026779478,0.038104136,19,33,-22,-23,48
2,1693677769253541900,-0.117315881,2.406172752,10.21725559,0.053958651,-0.026646247,0.037970904,5,34,-24,-32,48
3,1693677769254541900,-0.116118781,2.404975653,10.21845245,0.054091886,-0.026646247,0.037970904,19,30,-23,-25,49
4,1693677769255541900,-0.119710088,2.407369852,10.21845245,0.054091886,-0.026646247,0.037970904,14,42,-25,-33,50
0,1693677769277525400,-0.116118781,2.41574955,10.21127033,0.054225113,-0.026113322,0.037704438,19,45,-25,-28,48
1,1693677769278525400,-0.116118781,2.41335535,10.21246719,0.054225113,-0.026246555,0.037704438,16,35,-26,-30,45
2,1693677769279525400,-0.114921682,2.410961151,10.21246719,0.054491576,-0.026513018,0.037704438,16,39,-25,-20,50
3,1693677769280525400,-0.114921682,2.409764051,10.21127033,0.054491576,-0.026513018,0.037704438,16,35,-20,-24,50
4,1693677769281525400,-0.113724582,2.409764051,10.21246719,0.054358348,-0.026513018,0.037837673,20,41,-25,-20,55
0,1693677769304261900,-0.110133275,2.409764051,10.21127033,0.054225113,-0.026246555,0.037837673,14,39,-21,-23,54
1,1693677769305261900,-0.111330383,2.410961151,10.21605873,0.054225113,-0.026113322,0.037704438,27,30,-27,-28,51
2,1693677769306261900,-0.112527482,2.410961151,10.21366405,0.054225113,-0.025980091,0.037704438,17,35,-21,-25,45
3,1693677769307261900,-0.111330383,2.408566952,10.21246719,0.054358348,-0.025846859,0.037704438,20,35,-22,-27,50
4,1693677769308261900,-0.107739076,2.407369852,10.21605873,0.054358348,-0.025846859,0.037704438,17,40,-20,-32,49
0,1693677769337242400,-0.10175357,2.41455245,10.21007347,0.053825419,-0.026379786,0.037704438,10,29,-24,-19,50
1,1693677769338242400,-0.10295067,2.41455245,10.21605873,0.053958651,-0.026113322,0.037837673,14,39,-24,-29,48
2,1693677769339242400,-0.10295067,2.41574955,10.21246719,0.053958651,-0.026113322,0.037970904,20,45,-24,-23,49
3,1693677769340242400,-0.10175357,2.41455245,10.21605873,0.053825419,-0.026113322,0.037970904,18,39,-27,-24,50
4,1693677769341242400,-0.099359371,2.41455245,10.21246719,0.053692192,-0.026113322,0.037837673,15,43,-24,-23,53
0,1693677769397208700,-0.110133275,2.41335535,10.21007347,0.053958651,-0.026379786,0.037704438,15,39,-27,-19,53
1,1693677769398208700,-0.108936176,2.41335535,10.21007347,0.053958651,-0.026513018,0.037704438,20,33,-22,-24,53
2,1693677769399208700,-0.113724582,2.412158251,10.20887566,0.054091886,-0.02691271,0.037837673,17,39,-19,-20,52
3,1693677769400208700,-0.113724582,2.412158251,10.21007347,0.054225113,-0.027045943,0.037970904,10,30,-31,-22,48
4,1693677769401208700,-0.113724582,2.41694665,10.21007347,0.054225113,-0.027045943,0.037970904,18,40,-22,-23,48
0,1693677769458175900,-0.111330383,2.406172752,10.21366405,0.054091886,-0.026513018,0.038104136,15,40,-23,-26,53
1,1693677769459175900,-0.106541976,2.406172752,10.21366405,0.054225113,-0.026379786,0.038104136,17,31,-23,-18,51
2,1693677769460175900,-0.106541976,2.406172752,10.21366405,0.054225113,-0.026513018,0.038104136,20,45,-28,-20,53
3,1693677769461175900,-0.106541976,2.403778553,10.21007347,0.054225113,-0.026513018,0.037970904,18,36,-27,-22,46
4,1693677769462175900,-0.105344877,2.403778553,10.21007347,0.054225113,-0.026513018,0.037837673,18,42,-25,-18,54
0,1693677769494153400,-0.113724582,2.407369852,10.21845245,0.054358348,-0.026646247,0.037704438,21,41,-20,-18,50
1,1693677769495153400,-0.116118781,2.408566952,10.21725559,0.054358348,-0.026513018,0.037837673,20,44,-17,-27,55
2,1693677769496153400,-0.114921682,2.409764051,10.21965027,0.054358348,-0.026513018,0.037837673,19,34,-18,-22,49
3,1693677769497153400,-0.118512981,2.412158251,10.22204399,0.054225113,-0.026246555,0.037970904,18,35,-24,-27,48
4,1693677769498153400,-0.120907187,2.412158251,10.21965027,0.054091886,-0.026379786,0.037704438,10,36,-28,-21,52
0,1693677769520137900,-0.113724582,2.41455245,10.20887566,0.054225113,-0.027312404,0.03757121,20,31,-21,-22,55
1,1693677769521137900,-0.113724582,2.41455245,10.20887566,0.054091886,-0.027312404,0.03757121,17,41,-24,-18,54
2,1693677769522137900,-0.112527482,2.41335535,10.21246719,0.054091886,-0.027179174,0.037704438,18,33,-25,-26,52
3,1693677769523137900,-0.111330383,2.41455245,10.20887566,0.054225113,-0.027045943,0.03757121,13,32,-20,-24,43
4,1693677769524137900,-0.111330383,2.41455245,10.21127033,0.054225113,-0.02691271,0.03757121,14,31,-29,-24,44
0,1693677769541126400,-0.112527482,2.403778553,10.2028904,0.054225113,-0.027179174,0.037970904,20,35,-13,-29,53
1,1693677769542126400,-0.111330383,2.404975653,10.20528507,0.054225113,-0.027312404,0.038104136,17,32,-27,-22,48
2,1693677769543126400,-0.110133275,2.406172752,10.20528507,0.054091886,-0.027179174,0.038237367,11,35,-24,-23,50
3,1693677769544126400,-0.111330383,2.403778553,10.20648193,0.054091886,-0.027179174,0.038237367,15,30,-28,-23,49
4,1693677769545126400,-0.112527482,2.407369852,10.21007347,0.054091886,-0.027045943,0.038237367,19,43,-27,-18,53
0,1693677769560114100,-0.111330383,2.41694665,10.21845245,0.054358348,-0.026513018,0.03757121,15,40,-22,-19,50
