,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
0,1693677649472008600,1.024718285,-0.85473001,10.26873112,-0.062885143,-0.001332312,-0.008793262,-18,42,83,11,-2
1,1693677649473008600,1.029506683,-0.85473001,10.26633644,-0.062885143,-0.001332312,-0.008793262,-23,42,83,13,-13
2,1693677649474008600,1.027112484,-0.85473001,10.26394272,-0.062751912,-0.001465544,-0.008926493,-20,46,87,13,-4
3,1693677649475008600,1.025915384,-0.85353291,10.26633644,-0.06261868,-0.001465544,-0.008793262,-19,48,93,13,-4
4,1693677649476008600,1.024718285,-0.85353291,10.26274586,-0.06261868,-0.001465544,-0.008926493,-20,43,90,11,-5
0,1693677649503991000,1.028309584,-0.847547412,10.26992798,-0.062751912,-0.001732006,-0.009192956,-20,43,90,13,-13
1,1693677649504991000,1.031900883,-0.843956113,10.27112484,-0.062751912,-0.001865237,-0.009192956,-16,50,85,10,-5
2,1693677649505991000,1.033097982,-0.841561913,10.27351952,-0.062751912,-0.001865237,-0.009059724,-20,51,88,13,-3
3,1693677649506991000,1.031900883,-0.839167714,10.27711105,-0.06261868,-0.001865237,-0.008926493,-12,49,89,10,-4
4,1693677649507991000,1.031900883,-0.839167714,10.27351952,-0.062485453,-0.001732006,-0.009059724,-24,52,90,13,-7
0,1693677649525980300,1.025915384,-0.85353291,10.26633644,-0.062485453,-0.001865237,-0.008926493,-27,46,90,10,-9
1,1693677649526980300,1.024718285,-0.85353291,10.26753426,-0.062352221,-0.001865237,-0.008926493,-18,42,88,10,-5
2,1693677649527980300,1.021126986,-0.851138711,10.26633644,-0.062352221,-0.0021317,-0.008926493,-8,53,91,12,-2
3,1693677649528980300,1.017535686,-0.851138711,10.26513958,-0.062352221,-0.001998469,-0.008926493,-18,57,91,14,-3
4,1693677649529980300,1.019929886,-0.849941611,10.26035118,-0.062352221,-0.001998469,-0.008926493,-20,46,90,8,-4
0,1693677649543967100,1.022324085,-0.857124209,10.28429317,-0.062751912,-0.0021317,-0.008393568,-1,64,90,11,-5
1,1693677649544967100,1.022324085,-0.85592711,10.27711105,-0.062751912,-0.001998469,-0.008526799,-18,49,84,13,-5
2,1693677649545967100,1.022324085,-0.85353291,10.27591324,-0.062751912,-0.001865237,-0.008526799,-18,43,89,13,0
