timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
1695160849686519500,-10.27471638,0.40940848,2.646790028,1.385738134,0.171068922,1.394797802,-8,20,-6,13,14,-8.549694061,3.919308186,0.574608386,0.043166921,-0.041568145,0.057156201,-34,-20,-35,2,138
1695160849687519500,-10.26035118,0.435744703,2.625242233,1.270626426,0.110182241,1.404923439,-7,20,-8,13,14,-8.546102524,3.918111086,0.574608386,0.042900458,-0.041301683,0.055823889,-30,-22,-36,1,139
1695160849688519500,-10.24478912,0.457292527,2.59890604,1.154448628,0.048629403,1.413450241,-12,21,-9,13,16,-8.544905663,3.914519787,0.571017087,0.04276723,-0.040901989,0.054491576,-33,-21,-35,3,137
1695160849689519500,-10.22084713,0.468066424,2.573766708,1.037871361,-0.013056661,1.420245051,-6,22,-8,11,15,-8.547300339,3.913322687,0.567425787,0.04276723,-0.040901989,0.053692192,-30,-20,-35,2,137
1695160849690519500,-10.198102,0.469263524,2.547430515,0.92142725,-0.074875958,1.425574303,-6,21,-11,13,14,-8.549694061,3.909731388,0.566228688,0.04276723,-0.040369064,0.052359879,-34,-28,-35,4,138
1695160849753481200,-9.628282547,-0.511162043,1.906981707,-0.748759568,-1.069180727,1.381341457,-11,19,-9,12,14,-8.528146744,3.928884983,0.55904609,0.050761104,-0.035173047,0.028245023,-34,-19,-35,6,138
1695160849754481200,-9.59835434,-0.580593884,1.8590976,-0.810978532,-1.107950926,1.381075025,-12,25,-6,15,14,-8.529343605,3.928884983,0.55904609,0.050894335,-0.03543951,0.027045943,-33,-28,-34,3,140
1695160849755481200,-9.569623947,-0.648828685,1.811213613,-0.870266438,-1.145122528,1.382140875,-11,19,-7,13,14,-8.532935143,3.931279182,0.55904609,0.050761104,-0.035705972,0.025980091,-29,-21,-34,6,138
1695160849756481200,-9.539696693,-0.715866327,1.764526606,-0.927289426,-1.180295587,1.384272695,-12,21,-6,13,14,-8.534132004,3.932476282,0.55665189,0.050894335,-0.036238898,0.024781011,-30,-23,-37,4,137
1695160849757481200,-9.506177902,-0.77931267,1.719036818,-0.982047439,-1.213203669,1.387603283,-14,22,-6,13,14,-8.540117264,3.930082083,0.560243189,0.050894335,-0.036905054,0.02358193,-28,-20,-34,5,140
1695160849796456200,-9.131484985,-2.159569979,1.015141487,-1.580788612,-1.466875911,1.661393642,-10,20,-6,15,14,-8.538920403,3.994725466,0.568622887,0.049961712,-0.035039816,-0.005062787,-31,-21,-34,4,140
1695160849797456200,-9.135076523,-2.22900176,0.984016895,-1.589048982,-1.465676785,1.684842229,-11,19,-8,13,14,-8.536525726,3.999513865,0.572214186,0.04969525,-0.033973966,-0.006261868,-34,-20,-36,0,136
1695160849798456200,-9.136273384,-2.297236443,0.942118347,-1.594911098,-1.46367836,1.708557367,-11,22,-6,13,14,-8.535328865,4.003105164,0.574608386,0.049562022,-0.033041347,-0.007460949,-29,-18,-34,4,140
1695160849799456200,-9.141061783,-2.361880064,0.903811157,-1.598508358,-1.460747361,1.732672334,-14,22,-7,12,14,-8.532935143,4.004302502,0.573411286,0.049428791,-0.032508422,-0.008260337,-33,-23,-36,5,136
1695160849800456200,-9.15063858,-2.428917646,0.869095206,-1.600373626,-1.457150102,1.756653905,-10,19,-6,13,15,-8.529343605,4.0090909,0.573411286,0.049029093,-0.031975497,-0.009192956,-32,-21,-35,0,137
1695160849830436600,-9.326612473,-3.332728863,0.193930343,-1.311261773,-1.089032173,1.926124096,-12,22,-6,11,14,-8.525752068,4.073734283,0.597353339,0.047563553,-0.033840735,-0.012790199,-27,-20,-34,4,138
1695160849831436600,-9.323021889,-3.409343243,0.140060797,-1.279552937,-1.04719758,1.915465593,-12,18,-7,13,14,-8.526948929,4.074931145,0.597353339,0.047963247,-0.034240428,-0.012523737,-33,-20,-34,5,138
1695160849832436600,-9.317035675,-3.482366323,0.087388359,-1.247577429,-1.004163861,1.904540539,-12,21,-6,13,14,-8.529343605,4.078522682,0.598550439,0.048362937,-0.034640122,-0.011990812,-31,-19,-34,5,137
1695160849833436600,-9.31823349,-3.552995205,0.02873042,-1.215202093,-0.959931076,1.893615603,-12,20,-6,13,14,-8.530540466,4.080916882,0.602141738,0.048629403,-0.03543951,-0.011591119,-30,-23,-35,4,140
