timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
1695160628319491600,-8.398859978,-2.257732153,-0.828393817,-0.438730478,-0.139626339,-0.368117899,25,32,23,35,23,-9.157821655,6.057330132,2.336740971,0.271125585,-0.260866761,0.161476254,-50,-2,-19,32,151
1695160628320491600,-8.388085365,-2.310404539,-0.821211159,-0.462712079,-0.138427258,-0.367585003,25,32,19,31,26,-9.15063858,6.175843239,2.456450939,0.258735061,-0.244212866,0.152283311,-46,-3,-19,31,151
1695160628321491600,-8.374917984,-2.369062662,-0.809240162,-0.483362943,-0.135762632,-0.364787132,24,32,22,33,28,-9.143456459,6.295553207,2.571372509,0.245012254,-0.226892799,0.144555897,-46,-4,-19,31,151
1695160628322491600,-8.358158112,-2.428917646,-0.799663365,-0.49961713,-0.131898925,-0.359191418,24,33,22,34,25,-9.137471199,6.410475254,2.679111719,0.230490044,-0.209705979,0.138027564,-41,-3,-22,31,150
1695160628323491600,-8.336610794,-2.495955229,-0.793677866,-0.512007654,-0.126836136,-0.351730466,21,33,19,34,27,-9.126696587,6.525396824,2.783259392,0.215434924,-0.192918837,0.133364469,-45,-5,-19,31,151
1695160628421455200,-7.963114738,-3.259705544,-0.770932972,-0.271525264,0.100989282,-0.07194487,22,33,22,38,28,-8.70172596,8.214506149,4.098873138,0.064084224,-0.176264927,0.396096468,-46,-2,-21,31,151
1695160628422455200,-7.95832634,-3.252522945,-0.776918471,-0.243013784,0.114045948,-0.063418068,24,33,17,34,29,-8.700529099,8.281543732,4.110844135,0.063284837,-0.201179162,0.435133219,-47,-2,-21,32,150
1695160628423455200,-7.95593214,-3.240551949,-0.78170687,-0.214768767,0.126969382,-0.056356817,26,32,20,35,27,-8.705317497,8.347384453,4.109647274,0.061952524,-0.229157731,0.474969387,-45,-2,-23,31,151
1695160628424455200,-7.953537941,-3.224989653,-0.793677866,-0.186923429,0.139493108,-0.050894335,26,33,21,32,28,-8.718485832,8.412027359,4.108449936,0.06261868,-0.260600299,0.518136322,-44,-2,-18,33,150
1695160628425455200,-7.95593214,-3.215412855,-0.799663365,-0.168670759,0.147620216,-0.048229709,25,32,19,30,30,-8.720879555,8.493430138,4.09408474,0.063018374,-0.296972424,0.563701391,-48,-2,-21,32,151
1695160628467406100,-8.58680439,-2.56658411,-0.905008256,0.036105666,0.264597237,-0.112447165,29,31,20,38,29,-9.739612579,10.82059479,3.982754469,-0.061819296,-1.670586586,1.592646241,-49,8,-23,32,151
1695160628468406100,-8.63109684,-2.549824715,-0.906205356,0.029977029,0.265130162,-0.113379791,28,35,20,38,32,-9.765948296,10.89002609,3.94205308,-0.093928024,-1.743863702,1.650335312,-48,4,-23,31,151
1695160628469406100,-8.66940403,-2.534262419,-0.897825658,0.023182238,0.265529871,-0.113379791,29,34,21,32,29,-9.785101891,10.93671322,3.913322687,-0.128035218,-1.813676834,1.708024502,-45,7,-22,32,151
1695160628470406100,-8.704120636,-2.524685621,-0.894234359,0.015721286,0.265796334,-0.112313934,20,36,23,34,29,-9.794678688,10.95706367,3.892971992,-0.164007664,-1.879626274,1.765713573,-45,12,-21,31,152
1695160628471406100,-8.74003315,-2.516305923,-0.889445961,0.007993874,0.266062796,-0.110049009,25,33,21,32,27,-9.797073364,10.94629002,3.878606796,-0.199980095,-1.940912724,1.824202061,-47,10,-25,33,151
1695160628510382700,-8.898050308,-2.67671752,-0.814028561,-0.030909648,0.295773357,0.066349156,26,32,23,34,30,-8.596381187,9.613917351,4.149151325,-0.357192963,-2.112248182,2.89045167,-46,8,-24,33,151
1695160628511382700,-8.926780701,-2.677914619,-0.81642276,-0.025047474,0.296705961,0.077274114,26,35,21,35,28,-8.487444878,9.531316757,4.161122322,-0.337341517,-2.082271099,2.921094894,-47,10,-29,31,151
1695160628512382700,-8.960299492,-2.681505919,-0.822408259,-0.019052068,0.297372133,0.088065848,25,32,20,34,28,-8.378508568,9.458293915,4.169502258,-0.315225124,-2.051228285,2.948673725,-46,7,-29,34,151
1695160628513382700,-8.998606682,-2.683900118,-0.829590917,-0.01292343,0.297638565,0.098591112,26,33,20,38,28,-8.276755333,9.396044731,4.176684856,-0.291243494,-2.01845336,2.972655535,-44,9,-25,31,152
1695160628514382700,-9.03571701,-2.689885616,-0.834379315,-0.006661562,0.297771841,0.109116383,24,30,22,31,29,-8.178592682,9.340977669,4.177882195,-0.265663087,-1.984479427,2.99290657,-46,13,-25,35,152
1695160628550359100,-9.536105156,-2.962824583,-0.782903969,0.134830013,0.259534448,0.299637049,22,33,21,32,32,-6.370970726,8.402450562,4.165910721,0.185857579,-1.441695213,2.927090406,-48,12,-28,37,151
1695160628551359100,-9.514557838,-2.986766577,-0.785298169,0.144822344,0.255670756,0.305232793,25,32,20,34,28,-6.269217014,8.35097599,4.171896458,0.201312408,-1.425840735,2.914833069,-46,12,-27,33,150
1695160628552359100,-9.481039047,-3.007117271,-0.788889468,0.155214384,0.251673818,0.309895873,25,33,21,35,27,-6.173449039,8.297105789,4.170699596,0.216234297,-1.41065228,2.902575731,-49,11,-33,32,151
1695160628553359100,-9.44512558,-3.026270866,-0.788889468,0.165872887,0.247277185,0.313359886,25,34,17,34,29,-6.076483727,8.239645004,4.169502258,0.229957119,-1.396263361,2.890185118,-46,11,-25,34,152
1695160628554359100,-9.409213066,-3.043030262,-0.792480767,0.176797852,0.242347628,0.315624803,29,35,19,33,30,-5.97951889,8.185775757,4.171896458,0.243013784,-1.382807016,2.877528191,-47,9,-29,34,151
1695160628586338700,-9.004592896,-2.462436438,-1.07858789,0.176531389,0.084068909,0.046897396,26,32,21,34,28,-4.377797604,7.003039837,4.066551685,0.453519166,-1.187090278,2.557373762,-49,11,-29,33,151
1695160628587338700,-9.02973175,-2.407369852,-1.097741485,0.154681474,0.075275652,0.019718224,25,31,19,32,29,-4.310760021,6.939593792,4.058171749,0.466709018,-1.182427287,2.536989212,-45,13,-29,33,151
1695160628588338700,-9.06205368,-2.357091665,-1.108515382,0.130166918,0.066882081,-0.007460949,24,32,19,31,28,-4.244919777,6.87614727,4.050989151,0.479366004,-1.178963304,2.516738176,-47,12,-27,36,151
1695160628589338700,-9.097966194,-2.309207439,-1.120486379,0.103254206,0.058888208,-0.034506891,26,32,20,32,30,-4.177882195,6.819883347,4.042609692,0.490957111,-1.17656517,2.496220589,-50,11,-27,37,152
1695160628590338700,-9.135076523,-2.262520552,-1.130063176,0.074209802,0.051294025,-0.060886677,21,33,19,34,29,-4.110844135,6.773196697,4.031835556,0.500549793,-1.175765634,2.475303173,-47,13,-25,34,151
1695160628632313500,-9.491812706,-2.15478158,-1.234210968,-0.459781021,-0.006661562,-0.295240432,21,32,21,32,30,-2.430114746,5.98550415,4.066551685,0.238883615,-1.299404263,1.930920362,-46,17,-26,37,151
1695160628633313500,-9.466673851,-2.167949677,-1.231816769,-0.474836111,-0.005728943,-0.29244259,24,33,22,35,31,-2.30681324,5.913678169,4.107253075,0.212237358,-1.300869703,1.894947886,-49,16,-25,36,151
1695160628634313500,-9.436745644,-2.178723574,-1.238999367,-0.487626314,-0.004529862,-0.288578868,24,29,16,38,29,-2.176329374,5.844246387,4.141968727,0.185324654,-1.301402807,1.857776403,-44,15,-23,34,151
1695160628635313500,-9.403226852,-2.195482969,-1.252167463,-0.49708578,-0.002931087,-0.283516079,22,32,16,35,23,-2.038662672,5.762843609,4.179079056,0.156946406,-1.300869703,1.819938779,-48,16,-30,40,151
1695160628636313500,-9.350554466,-2.219424963,-1.252167463,-0.506811619,-0.000932619,-0.275655419,28,33,23,38,29,-1.892616391,5.671864033,4.224568844,0.129900455,-1.299404263,1.782101154,-46,15,-24,37,151
1695160628676290600,-8.561665535,-2.164358377,-1.248576164,-0.462978572,0.019984685,-0.146421134,21,35,15,36,28,-0.459686726,4.265270233,4.355052948,-0.25194028,-1.242781043,0.811911166,-50,25,-34,36,151
1695160628677290600,-8.538920403,-2.146401882,-1.243787766,-0.462045938,0.016520673,-0.140159264,25,32,24,35,29,-0.486022949,4.243722439,4.305971622,-0.250607967,-1.246511459,0.731306314,-50,24,-33,38,151
1695160628678290600,-8.519766808,-2.128445387,-1.241393566,-0.462045938,0.012656967,-0.133630931,27,32,23,36,29,-0.523133099,4.228160381,4.262876034,-0.244745791,-1.25077486,0.647770226,-49,27,-31,37,151
1695160628679290600,-8.501810074,-2.108094692,-1.236605167,-0.462712079,0.008393568,-0.126836136,22,32,23,32,27,-0.560243189,4.220977783,4.218583584,-0.233820826,-1.255571246,0.561836123,-49,24,-31,41,151
1695160628680290600,-8.485051155,-2.093729496,-1.236605167,-0.464044392,0.00319755,-0.119508423,26,32,21,32,26,-0.606930137,4.220977783,4.167108059,-0.218499228,-1.260633945,0.473503798,-47,27,-32,34,151
1695160628720264700,-8.690952301,-2.027888775,-1.452083349,-0.530393541,-0.223695248,0.114978559,28,33,17,31,28,-2.105700493,5.480327606,2.148796082,0.932751954,-1.5203017,-1.220797777,-49,28,-34,34,151
1695160628721264700,-8.716091156,-2.032677174,-1.471236944,-0.531592667,-0.241415009,0.13243185,25,32,16,34,28,-2.19308877,5.639542103,2.026691675,1.021617174,-1.531493068,-1.283549786,-51,24,-34,31,151
1695160628722264700,-8.74003315,-2.038662672,-1.493981838,-0.5318591,-0.259667695,0.149618685,26,32,20,35,29,-2.264914751,5.827486992,1.975216389,1.109816194,-1.54574883,-1.340439558,-49,28,-34,34,151
1695160628723264700,-8.767566681,-2.04584527,-1.514332533,-0.531326175,-0.27845329,0.1672052,25,33,23,38,29,-2.30681324,6.014234543,1.918952703,1.188822269,-1.550944805,-1.396929622,-49,25,-34,33,151
1695160628724264700,-8.792705536,-2.057816267,-1.539471745,-0.530260324,-0.29710567,0.184658498,25,33,23,34,27,-2.310404539,6.155492783,1.869871497,1.271692157,-1.550145507,-1.448223472,-51,20,-33,32,151
1695160628760239400,-9.22725296,-2.522291422,-1.950077295,-0.39996019,-0.565033674,0.513606429,25,33,23,34,28,-2.096123695,8.506598473,1.224634171,1.596110225,-1.072511435,-1.431702852,-59,30,-34,32,151
1695160628761239400,-9.239224434,-2.557007313,-1.97042799,-0.387969375,-0.571428835,0.529594183,24,33,21,32,29,-2.076969862,8.5484972,1.170764685,1.557872891,-1.041335344,-1.381741166,-52,30,-33,31,151
1695160628762239400,-9.245209694,-2.589329243,-1.982398987,-0.375978559,-0.576758087,0.545315444,26,33,21,35,30,-2.060210466,8.591592789,1.119289279,1.516837597,-1.010825396,-1.328715086,-54,30,-35,31,151
1695160628763239400,-9.248801231,-2.619256735,-1.994369984,-0.363854527,-0.581021428,0.559837699,26,30,21,35,28,-2.04464817,8.633491516,1.071405292,1.473271132,-0.980448663,-1.273557425,-53,30,-34,32,151
1695160628764239400,-9.255983353,-2.649184227,-2.005143881,-0.351730466,-0.584218979,0.573826909,25,32,21,33,28,-2.035071373,8.674192429,1.029506683,1.427173138,-0.949938774,-1.216667652,-52,30,-34,31,152
1695160628807217700,-9.273940086,-2.925714493,-2.23259306,-0.229424208,-0.526663125,0.610465586,26,33,19,34,30,-2.072181463,9.343372345,0.712275028,0.393698305,-0.479499221,-0.332145482,-54,30,-37,29,151
1695160628808217700,-9.266757965,-2.93529129,-2.225410461,-0.22702603,-0.519202113,0.597142458,22,32,21,38,29,-2.067393064,9.350554466,0.723048925,0.346134782,-0.462445647,-0.308297068,-54,29,-36,31,152
1695160628809217700,-9.255983353,-2.949656487,-2.224213362,-0.224361405,-0.511208296,0.582486987,26,34,21,32,27,-2.061407566,9.352949142,0.733822823,0.300569683,-0.445924938,-0.286180705,-51,28,-34,31,151
1695160628810217700,-9.241618156,-2.958036184,-2.212242365,-0.221696794,-0.502415001,0.5662328,27,32,19,34,29,-2.050633669,9.354146004,0.74459672,0.257269531,-0.429937184,-0.265796334,-51,30,-34,29,151
1695160628811217700,-9.230844498,-2.964021683,-2.205059767,-0.21863246,-0.492689133,0.548646212,25,32,19,38,29,-2.039859772,9.350554466,0.761356115,0.216767237,-0.413682997,-0.24674426,-51,30,-33,31,151
1695160628863202500,-9.059659004,-2.802412987,-1.966836691,-0.142557427,-0.193851456,0.066215925,24,32,19,32,27,-1.618480325,9.233239174,1.215057373,-0.010658499,-0.137761101,0.045298621,-54,23,-34,31,151
1695160628864202500,-9.069235802,-2.783259392,-1.953668594,-0.141891271,-0.175332308,0.040768761,30,31,19,31,30,-1.582567334,9.240421295,1.261744261,-0.001465544,-0.120707504,0.069013782,-54,29,-34,31,151
1695160628865202500,-9.077615738,-2.762908697,-1.946485996,-0.142024502,-0.156946406,0.01612098,25,32,17,34,27,-1.551442742,9.239224434,1.319205165,0.008926493,-0.103520676,0.092595711,-51,16,-34,31,151
1695160628866202500,-9.083600998,-2.736572504,-1.935712099,-0.14282389,-0.138960183,-0.007194487,24,32,20,35,27,-1.532289028,9.240421295,1.359906554,0.01718683,-0.091130167,0.110448696,-51,25,-32,31,151
1695160628867202500,-9.090784073,-2.719813108,-1.927332401,-0.143623278,-0.12723583,-0.022116385,27,32,21,31,27,-1.516726732,9.235632896,1.393425345,0.02571363,-0.079139359,0.127768755,-53,30,-34,31,151
1695160628911176100,-9.222464561,-2.603694439,-1.610100627,-0.124171518,0.105918832,-0.206774876,24,35,19,35,24,-1.278503656,9.254786491,2.015917778,0.129500762,0.06674885,0.312826961,-54,30,-34,30,151
1695160628912176100,-9.217676163,-2.609679937,-1.594538331,-0.113646246,0.112580396,-0.2051761,19,33,19,35,28,-1.268926859,9.24760437,2.039859772,0.128434911,0.070479326,0.312693715,-57,28,-34,30,150
1695160628913176100,-9.21528244,-2.619256735,-1.577778935,-0.101921894,0.118709028,-0.202911183,27,32,19,38,30,-1.252167463,9.239224434,2.066195965,0.127102599,0.074076563,0.311894357,-51,30,-34,32,152
1695160628914176100,-9.211690903,-2.627636433,-1.56221664,-0.088865243,0.124437973,-0.199713632,26,31,19,30,29,-1.223437071,9.22725296,2.104503393,0.125370592,0.078739658,0.309895873,-53,26,-29,31,151
1695160628915176100,-9.200917244,-2.633621931,-1.550245643,-0.074875958,0.129900455,-0.195849925,24,32,21,34,28,-1.201889277,9.21528244,2.132036686,0.123771824,0.082603365,0.307764143,-53,30,-38,31,150
1695160628960128300,-8.954314232,-2.71502471,-1.379060149,0.369316995,0.152283311,-0.031442571,25,34,20,32,30,-0.952892303,9.053673744,2.52827692,0.060620211,0.174266458,0.207840726,-51,29,-34,31,151
1695160628961128300,-8.950722694,-2.71502471,-1.37666595,0.400093406,0.149352223,-0.019451762,28,32,21,35,29,-0.952892303,9.050082207,2.541445017,0.053958651,0.17559877,0.201045945,-51,30,-34,31,151
