timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
1695161809408932200,-9.29788208,-1.732204914,-0.114921682,0.228225112,0.07500919,-0.062352221,-1,-6,-68,-2,3,-8.584410667,3.881000996,0.33399114,0.070745789,-0.090597242,-0.006261868,-53,-45,-22,28,183
1695161809409932200,-9.296685219,-1.720233917,-0.111330383,0.219032168,0.069679938,-0.060753446,-1,-3,-70,0,2,-8.583212852,3.881000996,0.328005642,0.071145482,-0.090064317,-0.005995406,-49,-39,-29,29,179
1695161809410932200,-9.293093681,-1.705868721,-0.10055647,0.202644721,0.060486984,-0.058488514,4,-6,-68,-14,4,-8.579621315,3.879803896,0.319625914,0.071811639,-0.089264929,-0.005995406,-49,-44,-31,24,182
1695161809411932200,-9.293093681,-1.695094824,-0.10175357,0.191986218,0.055290964,-0.057022974,-2,-7,-68,2,0,-8.574832916,3.878606796,0.314837515,0.072211333,-0.088465542,-0.005728943,-47,-41,-29,29,178
1695161809412932200,-9.290699959,-1.683123827,-0.10055647,0.180661559,0.050228179,-0.055424199,-2,-2,-70,0,2,-8.573636055,3.873818398,0.317231715,0.072477795,-0.087932616,-0.005595712,-49,-40,-29,28,180
1695161809471894400,-9.186552048,-1.650802016,-0.094570965,-0.076874427,-0.034773353,-0.008526799,0,-4,-70,-8,-1,-8.51617527,3.892971992,0.258573771,0.073943339,-0.061819296,-0.007194487,-50,-50,-30,28,181
1695161809472894400,-9.18296051,-1.656787634,-0.095768064,-0.089664623,-0.039303213,-0.004796324,0,-5,-69,-1,3,-8.51617527,3.892971992,0.254982471,0.073676877,-0.060620211,-0.007460949,-51,-43,-30,29,180
1695161809473894400,-9.179368973,-1.662773132,-0.104147777,-0.102055125,-0.043833077,-0.00106585,-1,-4,-69,-1,0,-8.514978409,3.892971992,0.250194073,0.073277183,-0.058488514,-0.007860643,-49,-44,-29,28,183
1695161809474894400,-9.173383713,-1.67115283,-0.114921682,-0.113646246,-0.048629403,0.003330781,-1,-4,-67,-4,0,-8.51617527,3.895366192,0.251391172,0.072877489,-0.056490045,-0.008127105,-49,-44,-33,24,180
1695161809475894400,-9.17098999,-1.681926727,-0.118512981,-0.124571204,-0.053292494,0.007594181,0,-6,-69,-4,1,-8.514978409,3.895366192,0.251391172,0.072344564,-0.054624807,-0.008393568,-51,-44,-28,26,178
1695161809513891600,-9.097966194,-1.906981707,-0.169988319,-0.191986218,-0.137228176,0.11817611,-2,-3,-67,2,1,-8.543708801,3.945644379,0.281318694,0.061952524,-0.024647778,-0.009192956,-51,-41,-31,26,182
1695161809514891600,-9.095572472,-1.911770105,-0.173579618,-0.190920368,-0.140958652,0.124571204,-1,-2,-69,-1,1,-8.546102524,3.949235678,0.283712894,0.061552834,-0.023448698,-0.008793262,-53,-40,-25,27,180
1695161809515891600,-9.095572472,-1.914164305,-0.18435353,-0.189987749,-0.14495559,0.130966306,-1,-3,-70,-3,3,-8.547300339,3.948038578,0.292092621,0.06115314,-0.022516079,-0.008393568,-49,-41,-31,26,183
1695161809516891600,-9.09437561,-1.916558504,-0.18435353,-0.189454809,-0.149218991,0.137228176,0,-4,-70,-2,3,-8.552088737,3.954024076,0.29807812,0.060753446,-0.021183766,-0.007860643,-48,-40,-27,28,180
