timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1.6951618096667858e+18,1.0,0.0,0.0,-2.0,0.0,-2.0,0.0,0.0
1.6951618096678054e+18,0.0,-3.0,-3.0,-2.0,-3.0,-1.0,-1.0,-2.0
1.6951618096767757e+18,-2.0,-1.0,-2.0,-1.0,0.0,-1.0,0.0,0.0
1.6951618096767757e+18,-1.0,-1.0,0.0,-2.0,1.0,0.0,0.0,-2.0
1.6951618096767757e+18,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0
1.6951618096767757e+18,-1.0,-2.0,-1.0,2.0,0.0,-1.0,-3.0,0.0
1.6951618096777756e+18,-1.0,0.0,-1.0,0.0,-2.0,0.0,0.0,-3.0
1.6951618096777756e+18,-1.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,0.0
1.6951618096837955e+18,-1.0,-1.0,-2.0,1.0,-1.0,-2.0,-3.0,0.0
1.695161809684779e+18,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0
1.6951618096867945e+18,-1.0,-1.0,-1.0,0.0,2.0,-2.0,0.0,-1.0
1.6951618096877732e+18,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-2.0,-1.0
1.6951618097057603e+18,-2.0,1.0,-1.0,-1.0,-3.0,-1.0,-1.0,-1.0
1.6951618097057603e+18,0.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
1.6951618097067594e+18,0.0,-2.0,-1.0,-2.0,0.0,-2.0,-1.0,0.0
1.6951618097067594e+18,0.0,-2.0,0.0,0.0,-2.0,-2.0,1.0,-2.0
1.6951618097277484e+18,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0
1.6951618097277484e+18,0.0,-1.0,-2.0,-1.0,1.0,-1.0,-1.0,-2.0
1.6951618097367424e+18,-1.0,-2.0,-1.0,0.0,-2.0,1.0,-2.0,-1.0
1.6951618097367424e+18,0.0,-1.0,0.0,-2.0,0.0,-1.0,-1.0,-2.0
1.6951618097387433e+18,-2.0,-1.0,0.0,-1.0,1.0,1.0,-1.0,-1.0
1.6951618097387433e+18,-2.0,-2.0,-3.0,0.0,-1.0,-1.0,0.0,2.0
1.6951618097587323e+18,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0
1.6951618097597286e+18,-1.0,-1.0,-1.0,1.0,3.0,1.0,1.0,1.0
1.6951618097617285e+18,-1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0
1.6951618097617285e+18,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
1.695161809774723e+18,1.0,0.0,3.0,-2.0,1.0,0.0,0.0,-1.0
1.695161809774723e+18,0.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
1.6951618097757225e+18,-2.0,1.0,0.0,-2.0,-1.0,-2.0,-2.0,0.0
1.6951618097757225e+18,-1.0,-1.0,0.0,-2.0,-2.0,-1.0,-1.0,-1.0
1.6951618097957115e+18,-1.0,-1.0,-1.0,0.0,0.0,0.0,-2.0,0.0
1.6951618097957115e+18,-1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0
1.6951618098337098e+18,-2.0,0.0,-1.0,-2.0,-1.0,-1.0,-1.0,-2.0
1.6951618098337098e+18,-3.0,-3.0,-2.0,-1.0,-1.0,-1.0,-2.0,-1.0
1.6951618098337098e+18,-2.0,-1.0,0.0,0.0,-2.0,0.0,-3.0,-1.0
1.6951618098346872e+18,-1.0,1.0,-2.0,-1.0,-1.0,0.0,0.0,-1.0
1.6951618098346872e+18,-2.0,0.0,0.0,0.0,-1.0,-2.0,-2.0,-1.0
1.695161809835685e+18,-1.0,0.0,-1.0,2.0,1.0,0.0,1.0,0.0
1.695161809835685e+18,-1.0,0.0,-2.0,-1.0,0.0,-2.0,-1.0,-1.0
1.695161809835685e+18,-2.0,-4.0,-2.0,-1.0,-2.0,-1.0,-3.0,-2.0
1.6951618098466793e+18,-1.0,-3.0,-1.0,1.0,-1.0,-1.0,0.0,-2.0
1.69516180984768e+18,-2.0,0.0,-1.0,0.0,-2.0,-3.0,0.0,-2.0
1.6951618098546742e+18,0.0,-3.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.6951618098546742e+18,0.0,-2.0,-1.0,-1.0,-2.0,-3.0,-1.0,-1.0
1.69516180986869e+18,0.0,1.0,0.0,-2.0,-1.0,-2.0,0.0,-1.0
1.69516180986869e+18,-1.0,-1.0,-1.0,0.0,3.0,0.0,0.0,-1.0
1.6951618098766848e+18,0.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0
1.6951618098766848e+18,-2.0,-1.0,0.0,-1.0,-2.0,1.0,-2.0,-1.0
1.6951618098856804e+18,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0
1.6951618098856804e+18,0.0,-1.0,-1.0,-2.0,-3.0,-3.0,-3.0,-3.0
1.6951618098996506e+18,-1.0,-2.0,1.0,-1.0,-2.0,0.0,-1.0,-2.0
1.6951618098996506e+18,-1.0,-1.0,0.0,-1.0,2.0,-1.0,1.0,0.0
1.695161809906645e+18,1.0,-1.0,-4.0,1.0,-3.0,-2.0,-1.0,0.0
1.695161809906645e+18,-2.0,-2.0,-2.0,-6.0,-2.0,-1.0,1.0,1.0
1.6951618099266332e+18,-2.0,-1.0,-2.0,3.0,2.0,1.0,0.0,-2.0
1.6951618099266332e+18,-2.0,0.0,1.0,-2.0,-1.0,0.0,-1.0,-1.0
1.6951618099266332e+18,-1.0,-2.0,-2.0,0.0,1.0,1.0,-1.0,1.0
1.6951618099266332e+18,1.0,0.0,-1.0,1.0,1.0,1.0,2.0,1.0
1.6951618099456305e+18,1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,1.0
1.6951618099456305e+18,0.0,1.0,0.0,-3.0,0.0,-2.0,1.0,0.0
1.6951618099466217e+18,1.0,0.0,2.0,1.0,0.0,-2.0,-2.0,0.0
1.6951618099466217e+18,1.0,3.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0
1.695161809958614e+18,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
1.695161809959615e+18,0.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0
1.6951618099696317e+18,0.0,-2.0,-1.0,-6.0,-3.0,-3.0,0.0,-1.0
1.6951618099696317e+18,0.0,-1.0,-3.0,-2.0,-1.0,-3.0,-3.0,-2.0
1.695161809982603e+18,-1.0,-1.0,1.0,1.0,-2.0,-3.0,-2.0,-1.0
1.695161809982603e+18,1.0,2.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0
1.695161809984607e+18,-1.0,-1.0,2.0,-3.0,3.0,-1.0,-1.0,1.0
1.695161809984607e+18,-2.0,-1.0,0.0,2.0,1.0,2.0,0.0,0.0
1.6951618100125875e+18,0.0,0.0,-2.0,-5.0,-2.0,-3.0,-3.0,-3.0
1.6951618100125875e+18,-2.0,-1.0,2.0,1.0,4.0,2.0,-1.0,-2.0
1.6951618100146066e+18,0.0,2.0,-1.0,5.0,2.0,3.0,3.0,0.0
1.6951618100146066e+18,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0
1.6951618100185797e+18,-2.0,-1.0,-3.0,-6.0,-5.0,-3.0,-1.0,2.0
1.6951618100185797e+18,-1.0,-2.0,2.0,5.0,-2.0,-1.0,-2.0,-2.0
1.6951618100275756e+18,0.0,1.0,-3.0,-15.0,-4.0,-4.0,-3.0,-1.0
1.6951618100275756e+18,0.0,-1.0,3.0,5.0,1.0,0.0,-1.0,0.0
1.6951618100475666e+18,-3.0,-7.0,-2.0,2.0,-2.0,2.0,0.0,-1.0
1.695161810048567e+18,2.0,3.0,-1.0,-6.0,-4.0,-4.0,-3.0,2.0
1.695161810048567e+18,0.0,2.0,-2.0,3.0,2.0,-2.0,-4.0,-2.0
1.695161810048567e+18,-1.0,-2.0,2.0,-1.0,0.0,1.0,1.0,-1.0
1.6951618100725517e+18,1.0,1.0,1.0,6.0,4.0,1.0,3.0,3.0
1.6951618100725517e+18,-4.0,-23.0,-4.0,-5.0,-3.0,-1.0,0.0,-2.0
1.695161810074549e+18,1.0,4.0,0.0,1.0,-3.0,-2.0,-4.0,-2.0
1.695161810074549e+18,-3.0,-1.0,-1.0,-1.0,0.0,-6.0,-17.0,-4.0
1.695161810078549e+18,-4.0,-1.0,-2.0,1.0,1.0,8.0,16.0,-4.0
1.695161810079546e+18,4.0,4.0,-4.0,-7.0,-4.0,-2.0,3.0,10.0
1.6951618100875415e+18,-5.0,0.0,0.0,2.0,-2.0,1.0,6.0,3.0
1.6951618100885412e+18,0.0,-8.0,0.0,-2.0,0.0,2.0,13.0,-29.0
1.6951618101105272e+18,-1.0,2.0,1.0,-4.0,0.0,-2.0,-14.0,10.0
1.6951618101105272e+18,-3.0,-11.0,-4.0,-2.0,-4.0,-1.0,-4.0,6.0
1.6951618101115364e+18,0.0,3.0,-1.0,-3.0,-2.0,-4.0,0.0,5.0
1.6951618101115364e+18,-1.0,6.0,0.0,2.0,-1.0,-4.0,-10.0,-13.0
1.695161810133516e+18,-3.0,-2.0,3.0,4.0,1.0,-4.0,8.0,-11.0
1.6951618101345142e+18,3.0,10.0,1.0,-1.0,4.0,6.0,15.0,-1.0
1.695161810135517e+18,4.0,-10.0,2.0,4.0,4.0,0.0,-1.0,15.0
1.695161810135517e+18,-4.0,1.0,-3.0,3.0,-1.0,2.0,-9.0,16.0
1.6951618101385124e+18,1.0,-7.0,-2.0,-2.0,-4.0,-2.0,-12.0,-20.0
1.695161810139514e+18,-4.0,14.0,5.0,5.0,4.0,0.0,-1.0,-12.0
