timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1.695162022130893e+18,0.0,-1.0,1.0,2.0,3.0,3.0,0.0,1.0
1.695162022130893e+18,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
1.695162022130893e+18,2.0,2.0,2.0,-1.0,-1.0,1.0,-1.0,1.0
1.695162022131892e+18,2.0,2.0,1.0,-1.0,1.0,1.0,0.0,-1.0
1.6951620221328914e+18,0.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,0.0
1.6951620221328914e+18,-1.0,-2.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
1.6951620221338913e+18,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0
1.6951620221338913e+18,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0
1.6951620221579008e+18,1.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0
1.6951620221579008e+18,0.0,0.0,-1.0,0.0,2.0,-1.0,0.0,0.0
1.6951620221608755e+18,0.0,0.0,0.0,0.0,2.0,-1.0,-2.0,-2.0
1.6951620221608755e+18,-1.0,0.0,-1.0,-3.0,-1.0,-2.0,1.0,-1.0
1.695162022162902e+18,-1.0,0.0,0.0,-2.0,0.0,-3.0,-2.0,-2.0
1.695162022162902e+18,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1.6951620221728704e+18,-2.0,-1.0,-2.0,-3.0,-2.0,-1.0,0.0,1.0
1.6951620221728704e+18,-2.0,-3.0,0.0,-1.0,-1.0,-2.0,-4.0,-2.0
1.6951620221778696e+18,0.0,0.0,0.0,-1.0,-1.0,-3.0,1.0,0.0
1.6951620221788672e+18,0.0,0.0,1.0,-2.0,-1.0,0.0,1.0,0.0
1.6951620221938588e+18,-2.0,0.0,-4.0,1.0,1.0,0.0,1.0,-1.0
1.6951620221938588e+18,1.0,-1.0,0.0,-3.0,-4.0,0.0,-2.0,-1.0
1.6951620222108493e+18,-1.0,0.0,-1.0,-1.0,-5.0,-2.0,-1.0,0.0
1.6951620222108493e+18,-2.0,0.0,1.0,-2.0,-1.0,-1.0,-2.0,-2.0
1.6951620222168456e+18,3.0,4.0,6.0,2.0,6.0,4.0,0.0,1.0
1.6951620222168456e+18,-1.0,-6.0,-11.0,-5.0,-4.0,-1.0,-3.0,-2.0
1.6951620222178445e+18,1.0,0.0,4.0,9.0,5.0,1.0,1.0,-1.0
1.6951620222188452e+18,-3.0,-3.0,-10.0,-7.0,-3.0,-4.0,-1.0,0.0
1.6951620222398543e+18,0.0,-3.0,5.0,1.0,-2.0,2.0,0.0,0.0
1.6951620222398543e+18,0.0,2.0,4.0,-3.0,-4.0,-3.0,-2.0,0.0
1.6951620222798088e+18,-2.0,-1.0,-8.0,-5.0,0.0,0.0,0.0,0.0
1.6951620222798088e+18,-1.0,-2.0,-1.0,0.0,-4.0,-4.0,-2.0,-3.0
1.6951620222798088e+18,-1.0,-1.0,-1.0,-2.0,-3.0,-3.0,-3.0,-1.0
1.6951620222808125e+18,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,0.0
1.6951620222838067e+18,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
1.6951620222838067e+18,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,2.0
1.6951620222838067e+18,0.0,2.0,3.0,0.0,4.0,-1.0,-1.0,0.0
1.6951620222838067e+18,1.0,-1.0,-2.0,1.0,5.0,8.0,2.0,0.0
1.6951620222908006e+18,-1.0,0.0,3.0,-1.0,-5.0,-13.0,-3.0,-2.0
1.6951620222908006e+18,2.0,1.0,-1.0,-5.0,-11.0,-3.0,-1.0,-1.0
