timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
1695162690997177800,-8.960299492,-0.948103845,-0.453701228,-0.543050528,0.035572741,-0.212637067,10,22,43,44,88,-8.601169586,4.104858875,1.053448796,-0.79992038,-0.024914242,0.163474724,-47,-24,-14,33,178
1695162690998177800,-8.961497307,-0.942118347,-0.466869324,-0.552110255,0.035972435,-0.204776406,17,25,37,44,87,-8.607154846,4.109647274,1.033097982,-0.799120963,-0.02571363,0.162941799,-50,-20,-9,35,180
1695162690999177800,-8.963891029,-0.937329948,-0.480037451,-0.561169982,0.03650536,-0.196249619,16,23,37,42,91,-8.61314106,4.113238335,1.016338587,-0.798188388,-0.026113322,0.162542105,-51,-24,-5,37,178
1695162691000177800,-8.965087891,-0.936132848,-0.490811348,-0.570096493,0.037304748,-0.187056661,17,27,36,40,88,-8.622717857,4.119224072,0.986411095,-0.796456337,-0.025980091,0.161742732,-50,-20,-11,36,181
1695162691001177800,-8.965087891,-0.937329948,-0.502782345,-0.578756511,0.038370594,-0.177330777,8,27,43,40,89,-8.629899979,4.120420933,0.975637197,-0.795923412,-0.025846859,0.161609486,-53,-24,-8,34,179
1695162691091120100,-8.919598579,-1.195903778,-0.671573579,-0.608467042,0.086600304,0.094061248,16,27,38,42,92,-9.593565941,4.434061527,0.788889468,-0.776871383,-0.02158346,0.140825421,-44,-21,-12,38,177
1695162691092120100,-8.916007042,-1.218648672,-0.679953277,-0.600206733,0.089797854,0.11191424,11,26,39,43,88,-9.593565941,4.489128113,0.821211159,-0.783133209,-0.011058193,0.137094945,-49,-24,-16,33,176
1695162691093120100,-8.913613319,-1.241393566,-0.688332975,-0.590880513,0.09272895,0.129500762,17,25,37,42,89,-9.589975357,4.542997837,0.849941611,-0.791793287,0.000666156,0.133231238,-55,-22,-11,34,180
1695162691094120100,-8.908824921,-1.26653266,-0.694318473,-0.580355287,0.0955268,0.147353753,16,25,40,40,88,-9.58039856,4.589684486,0.870292306,-0.802585006,0.013589587,0.129767224,-49,-21,-14,34,180
1695162691095120100,-8.907627106,-1.288080573,-0.697909772,-0.568630934,0.098591112,0.165339977,16,23,38,43,87,-9.557653427,4.630385876,0.888248801,-0.815641701,0.027312404,0.126836136,-47,-30,-15,36,180
