timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1.6951637496467643e+18,1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,-2.0
1.6951637496477622e+18,-1.0,-2.0,-3.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.6951637496477622e+18,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,-3.0,1.0
1.6951637496477622e+18,0.0,0.0,-3.0,-1.0,-1.0,0.0,0.0,-2.0
1.6951637496487603e+18,-2.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,-1.0
1.6951637496487603e+18,-1.0,0.0,-1.0,1.0,1.0,-1.0,-2.0,0.0
1.6951637496527575e+18,-1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0
1.6951637496527575e+18,-2.0,-1.0,0.0,-2.0,0.0,-2.0,-1.0,0.0
1.6951637496547594e+18,0.0,0.0,-1.0,-2.0,-1.0,-1.0,1.0,0.0
1.6951637496547594e+18,-1.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,0.0
1.6951637496747466e+18,0.0,-1.0,0.0,-1.0,-2.0,-3.0,-1.0,0.0
1.6951637496797432e+18,-1.0,-1.0,0.0,-2.0,-1.0,-1.0,0.0,0.0
1.6951637496807437e+18,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0
1.6951637496807437e+18,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-2.0,-1.0
1.6951637496927345e+18,-1.0,0.0,0.0,0.0,2.0,-1.0,-2.0,0.0
1.6951637496927345e+18,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,-1.0
1.6951637497057275e+18,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0
1.6951637497057275e+18,0.0,0.0,-3.0,-1.0,0.0,0.0,0.0,-1.0
1.6951637497077263e+18,-1.0,-2.0,-1.0,1.0,0.0,0.0,-1.0,0.0
1.6951637497077263e+18,0.0,-1.0,-2.0,-1.0,-2.0,-2.0,-2.0,-1.0
1.6951637497197197e+18,-1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,-2.0
1.6951637497207206e+18,0.0,-2.0,-1.0,-1.0,-2.0,-2.0,0.0,-1.0
1.6951637497357102e+18,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0
1.6951637497357102e+18,-1.0,0.0,-2.0,-1.0,0.0,1.0,0.0,-1.0
1.6951637497497024e+18,-1.0,-2.0,1.0,-1.0,-1.0,-1.0,-3.0,0.0
1.6951637497497024e+18,-1.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,0.0
1.6951637497507026e+18,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
1.6951637497507026e+18,1.0,-2.0,0.0,-1.0,-1.0,-2.0,-1.0,-2.0
1.6951637497656934e+18,0.0,0.0,-1.0,1.0,-2.0,0.0,-1.0,-1.0
1.6951637497656934e+18,0.0,-2.0,-3.0,-1.0,-1.0,-1.0,1.0,0.0
1.695163749766693e+18,-1.0,0.0,-2.0,-1.0,0.0,-1.0,0.0,-1.0
1.695163749766693e+18,-2.0,-1.0,0.0,-1.0,-1.0,-2.0,-2.0,-2.0
1.6951637498116677e+18,-1.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0
1.6951637498126671e+18,-1.0,-1.0,-2.0,-1.0,-2.0,-2.0,-1.0,0.0
1.6951637498126671e+18,-1.0,-2.0,-2.0,-1.0,-4.0,0.0,0.0,-2.0
1.6951637498126671e+18,0.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1.6951637498136658e+18,-1.0,1.0,-2.0,-2.0,1.0,0.0,0.0,-2.0
1.6951637498136658e+18,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-2.0
1.6951637498246592e+18,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0
1.695163749825659e+18,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-1.0,-2.0
1.6951637498266586e+18,-2.0,-1.0,-1.0,0.0,-2.0,-2.0,-1.0,-2.0
1.6951637498266586e+18,-1.0,-2.0,-2.0,0.0,-2.0,-1.0,-2.0,-1.0
1.695163749839653e+18,-1.0,-1.0,-4.0,-1.0,1.0,0.0,0.0,-2.0
1.695163749840655e+18,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-2.0
1.695163749841672e+18,0.0,-2.0,-1.0,-2.0,0.0,-2.0,-2.0,-2.0
1.695163749841672e+18,-1.0,-3.0,0.0,-2.0,1.0,-1.0,-1.0,0.0
1.695163749857645e+18,-2.0,-1.0,-1.0,1.0,-2.0,0.0,0.0,-2.0
1.695163749857645e+18,-2.0,-1.0,-2.0,0.0,-1.0,-2.0,-1.0,1.0
1.695163749878629e+18,-1.0,-1.0,-1.0,-1.0,-2.0,1.0,-1.0,-2.0
1.695163749878629e+18,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1.695163749878629e+18,1.0,-2.0,-1.0,0.0,-1.0,-4.0,-1.0,-2.0
