timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
1695162413199551300,-8.968679428,-1.601720929,-1.256955862,-0.09659265,0.052759573,-0.203177631,-6,0,20,29,24,-8.620323181,3.754108191,1.211466074,0.033574272,-0.042234302,0.013189893,-44,-18,-19,31,177
1695162413200551300,-8.959102631,-1.610100627,-1.242590666,-0.099656969,0.056889739,-0.20357734,-4,0,17,32,25,-8.622717857,3.752911091,1.204283476,0.033973966,-0.041834611,0.013589587,-41,-19,-17,32,180
1695162413201551300,-8.961497307,-1.613691926,-1.236605167,-0.100856051,0.059954058,-0.203177631,-8,-1,19,30,25,-8.620323181,3.752911091,1.199495077,0.03437366,-0.041301683,0.01385605,-41,-19,-13,33,178
1695162413202551300,-8.965087891,-1.613691926,-1.235408068,-0.100989282,0.062085759,-0.202644721,-2,0,19,30,23,-8.623914719,3.752911091,1.194706678,0.034773353,-0.040901989,0.014255743,-42,-18,-13,31,178
1695162413203551300,-8.966285706,-1.614889026,-1.229422569,-0.100989282,0.064217456,-0.201978564,-3,0,15,30,27,-8.626308441,3.751713991,1.192312479,0.035173047,-0.040235836,0.014522205,-41,-18,-13,31,176
1695162413270517500,-8.957905769,-1.502361536,-1.168370485,-0.077807046,0.071012251,-0.150817752,-6,-1,20,31,27,-8.661025047,3.774458885,1.162384868,0.039303213,-0.023981623,0.02917764,-43,-20,-15,32,181
1695162413271517500,-8.955511093,-1.497573137,-1.164779186,-0.07820674,0.07087902,-0.146421134,-6,-1,19,31,25,-8.661025047,3.772064686,1.156399369,0.039303213,-0.023448698,0.030376723,-44,-19,-14,31,179
1695162413272517500,-8.950722694,-1.489193439,-1.162384868,-0.078872897,0.07087902,-0.141624808,-5,-1,15,29,25,-8.665813446,3.769670486,1.15520227,0.03956968,-0.023049004,0.031442571,-43,-19,-15,31,178
1695162413273517500,-8.950722694,-1.483207941,-1.161187768,-0.079805516,0.071012251,-0.136961713,-6,0,15,28,27,-8.665813446,3.764882088,1.157596469,0.03996937,-0.022516079,0.032508422,-44,-20,-19,31,178
1695162413274517500,-8.944737434,-1.477222443,-1.161187768,-0.080871366,0.071145482,-0.131898925,-5,-2,15,30,25,-8.66940403,3.763684988,1.158793569,0.040502299,-0.022249617,0.033707503,-44,-21,-16,31,177
1695162413311514300,-8.930372238,-1.52390933,-1.100135684,-0.08020521,0.061019909,-0.004929556,-6,-2,17,30,23,-8.668207169,3.708618402,1.213860273,0.060753446,-0.023715161,0.057156201,-43,-17,-16,31,181
1695162413312514300,-8.929175377,-1.532289028,-1.094150186,-0.077807046,0.059421133,0.002931087,-7,0,16,33,27,-8.667010307,3.703830004,1.218648672,0.061819296,-0.02384839,0.057822358,-43,-17,-14,32,181
1695162413313514300,-8.931569099,-1.539471745,-1.091755986,-0.075408876,0.057822358,0.010924961,-6,0,17,33,22,-8.667010307,3.699041605,1.221042871,0.062751912,-0.02358193,0.058888208,-41,-18,-8,31,180
