timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1.695162469377836e+18,-1.0,-1.0,-1.0,0.0,-2.0,-1.0,0.0,0.0
1.6951624693818294e+18,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0
1.6951624693818294e+18,-1.0,0.0,-2.0,0.0,1.0,1.0,-1.0,-1.0
1.6951624693818294e+18,-1.0,-2.0,3.0,-5.0,-3.0,-1.0,-1.0,0.0
1.6951624693878254e+18,0.0,-1.0,-3.0,0.0,-1.0,1.0,0.0,-1.0
1.6951624693878254e+18,-1.0,-3.0,-5.0,2.0,1.0,2.0,0.0,0.0
1.6951624693888253e+18,0.0,-1.0,2.0,2.0,-3.0,-2.0,-1.0,0.0
1.6951624693888253e+18,0.0,-1.0,-4.0,2.0,-7.0,-2.0,-2.0,-1.0
1.6951624693898245e+18,0.0,5.0,8.0,-10.0,-4.0,-3.0,-1.0,1.0
1.6951624693898245e+18,1.0,0.0,2.0,8.0,-2.0,1.0,-1.0,-1.0
1.6951624693958208e+18,-7.0,-19.0,-38.0,-1.0,16.0,-3.0,-2.0,-3.0
1.6951624693958208e+18,-1.0,-1.0,3.0,0.0,7.0,7.0,-1.0,-1.0
1.6951624694018194e+18,-1.0,-1.0,0.0,-8.0,-13.0,-6.0,-3.0,0.0
1.6951624694018194e+18,0.0,10.0,19.0,1.0,-14.0,-3.0,0.0,1.0
1.695162469439819e+18,-1.0,1.0,0.0,-10.0,-10.0,-1.0,0.0,-1.0
1.6951624694407985e+18,0.0,-7.0,-16.0,3.0,4.0,1.0,-2.0,-2.0
1.6951624694417994e+18,-1.0,-1.0,-11.0,9.0,5.0,-15.0,1.0,-1.0
1.6951624694417994e+18,0.0,-1.0,3.0,6.0,29.0,19.0,2.0,-1.0
1.695162469442819e+18,0.0,2.0,4.0,-5.0,-5.0,5.0,-1.0,0.0
1.695162469442819e+18,0.0,2.0,3.0,5.0,-8.0,-9.0,-2.0,1.0
1.6951624694497902e+18,0.0,-3.0,-2.0,-16.0,-11.0,-5.0,-5.0,-2.0
1.6951624694497902e+18,-2.0,-3.0,-7.0,-2.0,-16.0,-19.0,-4.0,-1.0
1.6951624694627848e+18,-1.0,1.0,8.0,8.0,18.0,24.0,1.0,-1.0
1.6951624694637824e+18,1.0,2.0,-1.0,-9.0,-2.0,5.0,5.0,-1.0
1.6951624694658043e+18,-1.0,-6.0,1.0,14.0,2.0,-5.0,-1.0,-2.0
1.6951624694658043e+18,-2.0,-2.0,-2.0,0.0,-1.0,-7.0,-4.0,-3.0
1.6951624694857713e+18,1.0,2.0,-1.0,0.0,-2.0,-2.0,-4.0,-2.0
1.6951624694857713e+18,-3.0,-2.0,3.0,-6.0,-18.0,-13.0,-2.0,-3.0
1.6951624694887867e+18,-3.0,-1.0,2.0,4.0,0.0,1.0,-1.0,-2.0
1.6951624694887867e+18,-3.0,-5.0,-13.0,-3.0,0.0,11.0,2.0,0.0
1.6951624694997617e+18,-1.0,0.0,9.0,-1.0,2.0,-11.0,-3.0,-1.0
1.6951624695007613e+18,-1.0,-1.0,2.0,-13.0,-5.0,-2.0,0.0,-2.0
1.6951624695157752e+18,-3.0,-3.0,-4.0,5.0,1.0,-11.0,-1.0,-1.0
1.6951624695157752e+18,0.0,-3.0,2.0,-8.0,-4.0,28.0,1.0,-2.0
1.695162469546734e+18,0.0,0.0,1.0,-4.0,3.0,-11.0,-1.0,1.0
