timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1688391478556274,-3,-6,-12,-7,-15,-16,-1,-1
1688391478556274,-1,0,-18,-19,-14,6,3,-1
1688391478557273,2,10,66,53,7,-5,-9,2
1688391478557273,1,-4,-1,0,10,-8,4,1
1688391478558274,1,-2,-9,-11,4,17,1,-1
1688391478558274,0,0,-19,-17,-3,5,-4,-2
1688391478561274,-1,-2,2,-6,-15,-5,7,1
1688391478561274,-6,-11,-59,-27,-16,-2,-3,0
1688391478569267,14,36,106,98,25,15,2,6
1688391478569267,-2,-2,-6,-1,8,-16,0,-2
1688391478576263,0,0,-13,-17,-16,27,1,0
1688391478576263,-3,-8,-18,-36,1,-13,-5,-2
1688391478584260,-10,-19,-42,-9,-4,-7,-1,-4
1688391478584260,5,11,60,47,7,6,2,2
1688391478607247,0,2,15,7,15,0,9,3
1688391478607247,-6,-11,-28,-71,-13,-16,-15,-3
1688391478608245,-2,-6,-44,-51,-11,-10,4,0
1688391478608245,8,21,77,90,25,0,8,1
1688391478615243,-7,-11,1,-44,-1,-1,-5,-5
1688391478615243,4,11,3,51,4,8,5,3
1688391478632237,-5,-10,-21,-21,-8,7,-2,0
1688391478632237,-15,-39,-127,-128,-39,-14,-9,-6
1688391478643224,13,32,96,111,31,9,1,3
1688391478643224,-2,-1,30,31,0,27,2,-1
1688391478653219,-9,-18,-69,-49,-5,-12,-6,-4
1688391478653219,2,9,-13,11,-15,11,1,1
1688391478691197,-6,-22,-68,-105,-35,-3,-1,0
1688391478691197,7,19,23,74,23,7,-2,2
1688391478692200,-21,-53,-114,-123,-48,-39,-8,-8
1688391478692200,9,23,-16,88,32,9,-1,0
1688391478693197,-4,-1,12,-62,-40,11,-1,-1
1688391478693197,-22,-60,-113,-100,-52,-10,-8,-12
1688391478695194,34,83,84,127,68,0,8,16
1688391478695194,-17,-48,-128,-128,-33,-8,-6,-7
1688391478703191,1,4,-2,50,16,-9,5,1
1688391478703191,-16,-40,-83,-127,-56,22,-11,-5
1688391478710185,2,13,57,79,16,-6,1,-5
1688391478710185,-1,-5,17,-47,-18,-16,6,0
1688391478718180,5,18,61,88,97,39,4,0
1688391478718180,11,24,16,-23,-22,-45,6,6
1688391478733174,-25,-61,-127,-128,-103,17,-12,-12
1688391478733174,28,78,127,127,96,3,7,13
1688391478740188,-22,-52,-101,-93,-64,-7,-8,-13
1688391478740188,4,17,65,-20,6,-4,0,0
1688391478749188,12,23,-47,-5,41,40,6,6
1688391478749188,-4,-5,26,57,38,56,7,-1
1688391478763180,-4,-10,-75,-31,-39,-19,-10,-5
1688391478763180,-14,-24,-84,-40,-5,45,-3,-9
1688391478770175,8,14,25,51,28,35,13,8
1688391478770175,-4,-11,-29,26,-62,-17,-2,-1
1688391478778170,1,-2,-30,-41,21,-11,0,1
1688391478778170,7,9,-11,106,10,9,3,3
1688391478793161,-7,-16,2,-55,28,48,-2,-5
1688391478793161,2,8,-21,-45,-6,17,-3,1
1688391478800159,0,4,26,64,-5,-14,-14,0
1688391478800159,-7,-16,-19,2,-6,-79,-2,-3
1688391478809152,4,11,22,81,16,-5,11,2
1688391478809152,-10,-26,-53,-128,-58,7,-23,-7
1688391478823147,14,29,67,94,47,63,21,5
1688391478823147,-3,-4,23,27,24,52,7,2
1688391478830141,-5,-12,-35,-60,33,-44,-5,-3
1688391478830141,-9,-18,-1,-48,-6,-62,-8,-5
1688391478838136,10,24,80,-48,8,-15,2,6
1688391478838136,0,7,6,28,-1,-6,-3,-2
1688391478861124,-5,-9,-22,-99,-36,-36,-3,-3
1688391478861124,-4,-5,-12,-10,-20,52,0,-3
1688391478862124,-4,-9,-26,-30,-17,-4,-2,-2
1688391478862124,12,32,75,2,38,-1,4,5
1688391478871118,-3,-1,40,16,-37,-32,-8,-2
1688391478871118,3,9,57,108,27,-10,1,0
1688391478883111,2,5,-15,13,-7,-48,-3,0
1688391478883111,0,-1,6,-21,12,8,-1,-1
1688391478890107,-1,-1,2,7,-2,8,-2,0
1688391478890107,-3,-8,-28,-7,-6,-8,1,-2
1688391478898103,2,4,19,18,9,7,5,1
1688391478898103,3,6,0,-23,-1,-8,-8,1
1688391478913093,-1,-1,11,9,1,-6,4,-1
1688391478913093,-4,-9,-13,-31,-13,10,6,-1
1688391478920090,0,3,4,-13,-5,-3,-5,1
1688391478920090,1,2,-1,7,8,0,-3,0
1688391478928888,-1,-1,7,25,-6,2,-6,-1
1688391478928888,-2,-2,1,-23,5,-6,7,-2
1688391478943882,-2,-4,-26,24,1,-7,-3,-2
1688391478943882,2,7,16,21,1,2,2,0
1688391478949880,-1,0,10,6,-4,0,-5,-1
1688391478949880,2,1,-9,-3,0,-15,-3,0
1688391478957875,-2,-5,-11,-15,-5,3,-6,-3
1688391478957875,1,4,2,6,3,-4,3,-1
1688391478972868,1,-4,-7,-4,-6,2,7,1
1688391478972868,-2,-2,-6,-11,-1,-8,-18,-2
1688391478979862,2,3,8,10,1,-4,15,-1
1688391478979862,-2,1,2,-4,-1,-1,1,1
1688391478988857,-2,0,0,5,2,11,-3,-4
1688391478988857,0,1,0,7,0,-9,2,1
1688391479003849,-3,-2,2,-2,1,7,-4,0
1688391479003849,3,1,-5,3,2,-10,-3,-2
1688391479009846,-1,-4,-7,-5,-5,-1,3,-1
1688391479009846,-3,0,0,-1,3,-6,-4,-1
1688391479017841,0,-2,-3,-6,-3,-1,-2,1
1688391479017841,0,0,-1,-6,-2,3,5,-1
1688391479032832,-1,0,-10,1,-1,0,-9,-2
1688391479032832,3,6,38,22,5,2,12,-1
1688391479039828,0,-1,-1,-1,-1,-1,-8,-1
